itemId,title,galleryURL,viewItemURL,postalCode,location,country,shippingInfo,sellingStatus,listingInfo,returnsAccepted,condition,price_in_US,gerber_cost,gerber_bias
225042632968,VINTAGE GERBER USA SPORTSMAN II LOCKBACK FOLDING HUNTER BOWIE KNIFE W / SHEATH,https://i.ebayimg.com/thumbs/images/g/PP4AAOSwgoJitJZd/s-l140.jpg,https://www.ebay.com/itm/VINTAGE-GERBER-USA-SPORTSMAN-II-LOCKBACK-FOLDING-HUNTER-BOWIE-KNIFE-W-SHEATH-/225042632968,346**,"Hudson,FL,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '3.95'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '3'}","{'currentPrice': {'@currencyId': 'USD', '#text': '32.0'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '32.0'}, 'sellingState': 'Active', 'timeLeft': 'P29DT23H52M49S'}","{'bestOfferEnabled': 'true', 'buyItNowAvailable': 'false', 'startTime': '2022-06-23T16:39:35.000Z', 'endTime': '2022-07-23T16:39:35.000Z', 'listingType': 'FixedPrice', 'gift': 'false'}",False,Used,32.0,42.95,42.95
255593629957,Used Small Gerber Pocket Knife,https://i.ebayimg.com/thumbs/images/g/zgUAAOSw6fxiseiB/s-l140.jpg,https://www.ebay.com/itm/Used-Small-Gerber-Pocket-Knife-/255593629957,770**,"Houston,TX,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '4.0'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '6.5'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '6.5'}, 'bidCount': '4', 'sellingState': 'Active', 'timeLeft': 'P2DT23H3M59S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-21T15:50:45.000Z', 'endTime': '2022-06-26T15:50:45.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '3'}",True,Used,6.5,42.95,42.95
255563491368,Gerber Paraframe Mini Folding Pocket Knife - Silver Serrated Blade - Very Good,https://i.ebayimg.com/thumbs/images/g/6IgAAOSwJ-FiDA5S/s-l140.jpg,https://www.ebay.com/itm/Gerber-Paraframe-Mini-Folding-Pocket-Knife-Silver-Serrated-Blade-Very-Good-/255563491368,801**,"Castle Rock,CO,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '0.0'}, 'shippingType': 'Free', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '10.88'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '10.88'}, 'sellingState': 'Active', 'timeLeft': 'P8DT0H50M44S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-01T17:37:30.000Z', 'endTime': '2022-07-01T17:37:30.000Z', 'listingType': 'FixedPrice', 'gift': 'false', 'watchCount': '8'}",True,Used,10.88,42.95,42.95
255588848294,Pair Of Used Gerber Pocket Knives(Evo),https://i.ebayimg.com/thumbs/images/g/A68AAOSwJj5irgwV/s-l140.jpg,https://www.ebay.com/itm/Pair-Used-Gerber-Pocket-Knives-Evo-/255588848294,770**,"Houston,TX,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '4.25'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '9.5'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '9.5'}, 'bidCount': '6', 'sellingState': 'Active', 'timeLeft': 'P0DT0H46M26S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-18T17:33:12.000Z', 'endTime': '2022-06-23T17:33:12.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '1'}",True,Used,9.5,42.95,42.95
233326223335,Gerber Paraframe 7 Inch Folding Pocket Knife *Various*,https://i.ebayimg.com/thumbs/images/g/ViIAAOSw1shg7y3c/s-l140.jpg,https://www.ebay.com/itm/Gerber-Paraframe-7-Inch-Folding-Pocket-Knife-Various-/233326223335?var=0&vti=,303**,"Atlanta,GA,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '0.0'}, 'shippingType': 'Free', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '9.4'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '9.4'}, 'sellingState': 'Active', 'timeLeft': 'P5DT22H29M53S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2019-08-29T15:16:39.000Z', 'endTime': '2022-06-29T15:16:39.000Z', 'listingType': 'FixedPrice', 'gift': 'false', 'watchCount': '74'}",True,Used,9.4,42.95,42.95
275358325800,GERBER FUSE EDC LOCKBACK FOLDING SURVIVAL KNIFE KNIVES POCKET TACTICAL UTILITY,https://i.ebayimg.com/thumbs/images/g/IcoAAOSw1cJismMp/s-l140.jpg,https://www.ebay.com/itm/GERBER-FUSE-EDC-LOCKBACK-FOLDING-SURVIVAL-KNIFE-KNIVES-POCKET-TACTICAL-UTILITY-/275358325800,748**,"Tecumseh,OK,USA",US,"{'shippingType': 'Calculated', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'true', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '12.5'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '12.5'}, 'bidCount': '3', 'sellingState': 'Active', 'timeLeft': 'P3DT7H45M54S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-22T00:32:40.000Z', 'endTime': '2022-06-27T00:32:40.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '7'}",True,Used,12.5,42.95,42.95
334482144366,Gerber STL 2.0 Folding Pocket Knife Frame Lock Black Stainless Steel *Various*,https://i.ebayimg.com/thumbs/images/g/HzQAAOSw6~Bis0jl/s-l140.jpg,https://www.ebay.com/itm/Gerber-STL-2-0-Folding-Pocket-Knife-Frame-Lock-Black-Stainless-Steel-Various-/334482144366?var=543505938207&vti=,303**,"Atlanta,GA,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '0.0'}, 'shippingType': 'Free', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '10.79'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '10.79'}, 'sellingState': 'Active', 'timeLeft': 'P29DT0H8M16S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-22T16:55:02.000Z', 'endTime': '2022-07-22T16:55:02.000Z', 'listingType': 'FixedPrice', 'gift': 'false', 'watchCount': '2'}",True,Used,10.79,42.95,42.95
264732136609,"Original Gerber Paraframe I Stainless Steel Pocket Knife Used, Various",https://i.ebayimg.com/thumbs/images/g/i2cAAOSwa2Ze0F35/s-l140.jpg,https://www.ebay.com/itm/Original-Gerber-Paraframe-Stainless-Steel-Pocket-Knife-Used-Various-/264732136609?var=0&vti=,838**,"Moscow,ID,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '4.0'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '10.95'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '10.95'}, 'sellingState': 'Active', 'timeLeft': 'P22DT5H23M5S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2020-05-15T22:09:51.000Z', 'endTime': '2022-07-15T22:09:51.000Z', 'listingType': 'FixedPrice', 'gift': 'false', 'watchCount': '67'}",True,Used,10.95,42.95,42.95
255592579808,Used Gerber Pocket Knife(gator Grip),https://i.ebayimg.com/thumbs/images/g/fFYAAOSweQZisQJ6/s-l140.jpg,https://www.ebay.com/itm/Used-Gerber-Pocket-Knife-gator-Grip-/255592579808,770**,"Houston,TX,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '4.0'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '1.45'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '1.45'}, 'bidCount': '3', 'sellingState': 'Active', 'timeLeft': 'P2DT6H43M24S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-20T23:30:10.000Z', 'endTime': '2022-06-25T23:30:10.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '7'}",True,Used,1.45,42.95,42.95
275349663840,Vintage Gerber International Silver Knight Lock blade Knife￼ Japan,https://i.ebayimg.com/thumbs/images/g/P6EAAOSw1P9iqPfb/s-l140.jpg,https://www.ebay.com/itm/Vintage-Gerber-International-Silver-Knight-Lock-blade-Knife-Japan-/275349663840,273**,"Thomasville,NC,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '6.0'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '3'}","{'currentPrice': {'@currencyId': 'USD', '#text': '4.25'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '4.25'}, 'bidCount': '2', 'sellingState': 'Active', 'timeLeft': 'P5DT5H58M15S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-21T22:45:01.000Z', 'endTime': '2022-06-28T22:45:01.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '7'}",False,Used,4.25,42.95,42.95
394122049341,"NTSA  GERBER   4 1/8"" CLOSED ""OBSIDIAN"" BUTTON LOCK  POCKET KNIFE",https://i.ebayimg.com/thumbs/images/g/hqUAAOSwe89ir0PN/s-l140.jpg,https://www.ebay.com/itm/NTSA-GERBER-4-1-8-CLOSED-OBSIDIAN-BUTTON-LOCK-POCKET-KNIFE-/394122049341,891**,"Las Vegas,NV,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '5.5'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '20.5'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '20.5'}, 'bidCount': '16', 'sellingState': 'Active', 'timeLeft': 'P2DT22H59M46S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-19T15:46:32.000Z', 'endTime': '2022-06-26T15:46:32.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '9'}",True,Used,20.5,42.95,42.95
394121393066,"NTSA  GERBER  4 7/8"" CLOSED ""TACTIAL""LINER LOCK POCKET KNIFE #4660818A",https://i.ebayimg.com/thumbs/images/g/vN4AAOSweWlirmju/s-l140.jpg,https://www.ebay.com/itm/NTSA-GERBER-4-7-8-CLOSED-TACTIAL-LINER-LOCK-POCKET-KNIFE-4660818A-/394121393066,891**,"Las Vegas,NV,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '5.5'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '10.0'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '10.0'}, 'bidCount': '6', 'sellingState': 'Active', 'timeLeft': 'P2DT7H25M20S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-19T00:12:06.000Z', 'endTime': '2022-06-26T00:12:06.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '7'}",True,Used,10.0,42.95,42.95
234594223188,Gerber Small Drop Point Lockback Black Folding Pocket Knife Made in Usa,https://i.ebayimg.com/thumbs/images/g/veYAAOSw9apinl7j/s-l140.jpg,https://www.ebay.com/itm/Gerber-Small-Drop-Point-Lockback-Black-Folding-Pocket-Knife-Made-Usa-/234594223188,373**,"Tullahoma,TN,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '0.0'}, 'shippingType': 'Free', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '19.95'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '19.95'}, 'sellingState': 'Active', 'timeLeft': 'P25DT9H34M44S'}","{'bestOfferEnabled': 'true', 'buyItNowAvailable': 'false', 'startTime': '2022-06-19T02:21:30.000Z', 'endTime': '2022-07-19T02:21:30.000Z', 'listingType': 'FixedPrice', 'gift': 'false', 'watchCount': '11'}",True,Used,19.95,42.95,42.95
265748685082,GERBER USA 97223 Sportsman BRASS Folding Knife Portland Oregon (1979 YR)VINTAGE!,https://i.ebayimg.com/thumbs/images/g/CPgAAOSwQjFis2EP/s-l140.jpg,https://www.ebay.com/itm/GERBER-USA-97223-Sportsman-BRASS-Folding-Knife-Portland-Oregon-1979-YR-VINTAGE-/265748685082,240**,"Roanoke,VA,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '8.95'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'true', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '10.0'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '10.0'}, 'bidCount': '0', 'sellingState': 'Active', 'timeLeft': 'P6DT2H32M33S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-22T19:19:19.000Z', 'endTime': '2022-06-29T19:19:19.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '3'}",False,Used,10.0,42.95,42.95
394118936281,Gerber Remix Pocket Knife Liner Lock Plain Edge Blade,https://i.ebayimg.com/thumbs/images/g/9kMAAOSwtB5iq82B/s-l140.jpg,https://www.ebay.com/itm/Gerber-Remix-Pocket-Knife-Liner-Lock-Plain-Edge-Blade-/394118936281,327**,"Eustis,FL,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '0.0'}, 'shippingType': 'Free', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '15.0'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '15.0'}, 'bidCount': '1', 'sellingState': 'Active', 'timeLeft': 'P0DT7H57M14S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-17T00:44:00.000Z', 'endTime': '2022-06-24T00:44:00.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '3'}",True,Used,15.0,42.95,42.95
255589080304,GERBER REMIX  and Assorted Lot Folding Knives 8 Pieces,https://i.ebayimg.com/thumbs/images/g/xiUAAOSwG5Jiri~B/s-l140.jpg,https://www.ebay.com/itm/GERBER-REMIX-and-Assorted-Lot-Folding-Knives-8-Pieces-/255589080304,296**,"Greenville,SC,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '16.35'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '2'}","{'currentPrice': {'@currencyId': 'USD', '#text': '26.0'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '26.0'}, 'bidCount': '7', 'sellingState': 'Active', 'timeLeft': 'P2DT3H43M58S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-18T20:30:44.000Z', 'endTime': '2022-06-25T20:30:44.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '9'}",True,Used,26.0,42.95,42.95
384957333887,"NTSA  GERBER  5 1/4"" CLOSED ""ICON TANTO"" LINER LOCK POCKET KNIFE #4660416A",https://i.ebayimg.com/thumbs/images/g/P7wAAOSwbp5irnKJ/s-l140.jpg,https://www.ebay.com/itm/NTSA-GERBER-5-1-4-CLOSED-ICON-TANTO-LINER-LOCK-POCKET-KNIFE-4660416A-/384957333887,891**,"Las Vegas,NV,USA",US,"{'shippingServiceCost': {'@currencyId': 'USD', '#text': '5.5'}, 'shippingType': 'Flat', 'shipToLocations': 'Worldwide', 'expeditedShipping': 'false', 'oneDayShippingAvailable': 'false', 'handlingTime': '1'}","{'currentPrice': {'@currencyId': 'USD', '#text': '14.5'}, 'convertedCurrentPrice': {'@currencyId': 'USD', '#text': '14.5'}, 'bidCount': '11', 'sellingState': 'Active', 'timeLeft': 'P2DT8H8M15S'}","{'bestOfferEnabled': 'false', 'buyItNowAvailable': 'false', 'startTime': '2022-06-19T00:55:01.000Z', 'endTime': '2022-06-26T00:55:01.000Z', 'listingType': 'Auction', 'gift': 'false', 'watchCount': '8'}",True,Used,14.5,42.95,42.95
