index,brand,endedDate,image,itemNumber,price,priceWithCurrency,url,benchmade,profit,ROI,buck,case,crkt,kershaw,spyderco,victorinox
0,benchmade,"Aug 23, 2022",https://i.ebayimg.com/images/g/EaMAAOSwUTNjBXN3/s-l500.jpg,234670634793,27.0,US $27.00,https://www.ebay.com/itm/234670634793,45.0,-25.0,-48.07692307692308,0.0,0.0,0.0,0.0,0.0,0.0
2,benchmade,"Aug 23, 2022",https://i.ebayimg.com/images/g/KpcAAOSwwDdjBGjr/s-l500.jpg,255690271596,85.0,US $85.00,https://www.ebay.com/itm/255690271596,45.0,33.0,63.46153846153846,0.0,0.0,0.0,0.0,0.0,0.0
3,benchmade,"Aug 23, 2022",https://i.ebayimg.com/images/g/4BMAAOSwAC5jBFaD/s-l500.jpg,255690229147,85.0,US $85.00,https://www.ebay.com/itm/255690229147,45.0,33.0,63.46153846153846,0.0,0.0,0.0,0.0,0.0,0.0
4,benchmade,"Aug 18, 2022",https://i.ebayimg.com/images/g/9SsAAOSwYKNi~bIr/s-l500.jpg,255682581350,80.0,US $80.00,https://www.ebay.com/itm/255682581350,45.0,28.0,53.84615384615385,0.0,0.0,0.0,0.0,0.0,0.0
8,benchmade,"Aug 20, 2022",https://i.ebayimg.com/images/g/zeYAAOSwENhi~~il/s-l500.jpg,255685230322,80.0,US $80.00,https://www.ebay.com/itm/255685230322,45.0,28.0,53.84615384615385,0.0,0.0,0.0,0.0,0.0,0.0
16,benchmade,"Aug 14, 2022",https://i.ebayimg.com/images/g/vBAAAOSwhA1i9zTB/s-l500.jpg,255674717368,60.0,US $60.00,https://www.ebay.com/itm/255674717368,45.0,8.0,15.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
18,benchmade,"Aug 18, 2022",https://i.ebayimg.com/images/g/nL8AAOSwngti~epX/s-l500.jpg,255682731197,75.0,US $75.00,https://www.ebay.com/itm/255682731197,45.0,23.0,44.230769230769226,0.0,0.0,0.0,0.0,0.0,0.0
19,benchmade,"Aug 17, 2022",https://i.ebayimg.com/images/g/1jcAAOSwsMVi~ZMF/s-l500.jpg,354230590521,158.0,US $158.00,https://www.ebay.com/itm/354230590521,45.0,106.0,203.84615384615384,0.0,0.0,0.0,0.0,0.0,0.0
29,benchmade,"Aug 15, 2022",https://i.ebayimg.com/images/g/SAMAAOSwEGVi-v6I/s-l500.jpg,314109508432,140.0,US $140.00,https://www.ebay.com/itm/314109508432,45.0,88.0,169.23076923076923,0.0,0.0,0.0,0.0,0.0,0.0
33,benchmade,"Aug 07, 2022",https://i.ebayimg.com/images/g/A5oAAOSwFUti8Csa/s-l500.jpg,155109711756,125.0,US $125.00,https://www.ebay.com/itm/155109711756,45.0,73.0,140.3846153846154,0.0,0.0,0.0,0.0,0.0,0.0
41,benchmade,"Aug 15, 2022",https://i.ebayimg.com/images/g/wskAAOSwcQli-XXF/s-l500.jpg,195287285045,185.0,US $185.00,https://www.ebay.com/itm/195287285045,45.0,133.0,255.76923076923075,0.0,0.0,0.0,0.0,0.0,0.0
46,benchmade,"Aug 22, 2022",https://i.ebayimg.com/images/g/~l4AAOSwvm9jA7re/s-l500.jpg,325314249888,175.0,US $175.00,https://www.ebay.com/itm/325314249888,45.0,123.0,236.53846153846155,0.0,0.0,0.0,0.0,0.0,0.0
62,benchmade,"Aug 17, 2022",https://i.ebayimg.com/images/g/iJgAAOSw~tVi~O9u/s-l500.jpg,255681560835,70.0,US $70.00,https://www.ebay.com/itm/255681560835,45.0,18.0,34.61538461538461,0.0,0.0,0.0,0.0,0.0,0.0
70,benchmade,"Aug 10, 2022",https://i.ebayimg.com/images/g/p-kAAOSwclli81rk/s-l500.jpg,354215773048,250.0,US $250.00,https://www.ebay.com/itm/354215773048,45.0,198.0,380.7692307692308,0.0,0.0,0.0,0.0,0.0,0.0
72,benchmade,"Aug 14, 2022",https://i.ebayimg.com/images/g/UpoAAOSwJzpi98PX/s-l500.jpg,403831479945,38.0,US $38.00,https://www.ebay.com/itm/403831479945,45.0,-14.0,-26.923076923076923,0.0,0.0,0.0,0.0,0.0,0.0
86,benchmade,"Aug 15, 2022",https://i.ebayimg.com/images/g/mi4AAOSwKuxi-rm9/s-l500.jpg,255678882077,75.0,US $75.00,https://www.ebay.com/itm/255678882077,45.0,23.0,44.230769230769226,0.0,0.0,0.0,0.0,0.0,0.0
97,benchmade,"Aug 10, 2022",https://i.ebayimg.com/images/g/X3IAAOSwC05i8kYP/s-l500.jpg,334527718905,525.0,US $525.00,https://www.ebay.com/itm/334527718905,45.0,473.0,909.6153846153846,0.0,0.0,0.0,0.0,0.0,0.0
132,benchmade,"Aug 11, 2022",https://i.ebayimg.com/images/g/QfIAAOSwsjdi9Rev/s-l500.jpg,165622821102,60.0,US $60.00,https://www.ebay.com/itm/165622821102,45.0,8.0,15.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
148,benchmade,"Jul 19, 2022",https://i.ebayimg.com/images/g/otwAAOSw~9Ji1Iny/s-l500.jpg,255634431178,139.95,US $139.95,https://www.ebay.com/itm/255634431178,45.0,87.94999999999999,169.13461538461536,0.0,0.0,0.0,0.0,0.0,0.0
160,benchmade,"Aug 05, 2022",https://i.ebayimg.com/images/g/6rIAAOSwK9di607~/s-l500.jpg,385041792308,145.0,US $145.00,https://www.ebay.com/itm/385041792308,45.0,93.0,178.84615384615387,0.0,0.0,0.0,0.0,0.0,0.0
180,benchmade,"Aug 09, 2022",https://i.ebayimg.com/images/g/0wkAAOSwqXxi6VBH/s-l500.jpg,295148752143,200.0,US $200.00,https://www.ebay.com/itm/295148752143,45.0,148.0,284.61538461538464,0.0,0.0,0.0,0.0,0.0,0.0
194,benchmade,"Jul 24, 2022",https://i.ebayimg.com/images/g/rVkAAOSwG9Zi3FxR/s-l500.png,185511579050,175.0,US $175.00,https://www.ebay.com/itm/185511579050,45.0,123.0,236.53846153846155,0.0,0.0,0.0,0.0,0.0,0.0
205,benchmade,"Aug 08, 2022",https://i.ebayimg.com/images/g/NvwAAOSwWeJi6SDc/s-l500.jpg,325291153869,275.0,US $275.00,https://www.ebay.com/itm/325291153869,45.0,223.0,428.8461538461538,0.0,0.0,0.0,0.0,0.0,0.0
208,benchmade,"Aug 11, 2022",https://i.ebayimg.com/images/g/Fv0AAOSwalpi1zKP/s-l500.jpg,394194278172,79.99,US $79.99,https://www.ebay.com/itm/394194278172,45.0,27.989999999999995,53.82692307692307,0.0,0.0,0.0,0.0,0.0,0.0
221,benchmade,"Jul 13, 2022",https://i.ebayimg.com/images/g/iVYAAOSwUfJizbA4/s-l500.jpg,195212093879,195.0,US $195.00,https://www.ebay.com/itm/195212093879,45.0,143.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0
237,benchmade,"Jul 03, 2022",https://i.ebayimg.com/images/g/fnoAAOSwWa5iwfEh/s-l500.jpg,334492566536,120.0,US $120.00,https://www.ebay.com/itm/334492566536,45.0,68.0,130.76923076923077,0.0,0.0,0.0,0.0,0.0,0.0
239,benchmade,"Jul 10, 2022",https://i.ebayimg.com/images/g/v-IAAOSwRuZiy33w/s-l500.jpg,115460881793,29.9,US $29.90,https://www.ebay.com/itm/115460881793,45.0,-22.1,-42.50000000000001,0.0,0.0,0.0,0.0,0.0,0.0
250,benchmade,"Jul 07, 2022",https://i.ebayimg.com/images/g/D5cAAOSwbGpix3oI/s-l500.jpg,295083164756,189.0,US $189.00,https://www.ebay.com/itm/295083164756,45.0,137.0,263.46153846153845,0.0,0.0,0.0,0.0,0.0,0.0
299,benchmade,"Jul 11, 2022",https://i.ebayimg.com/images/g/CQsAAOSwU-diy2XZ/s-l500.jpg,255624007588,195.0,US $195.00,https://www.ebay.com/itm/255624007588,45.0,143.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0
398,benchmade,"Aug 08, 2022",https://i.ebayimg.com/images/g/BqMAAOSwKEhi8Aje/s-l500.jpg,403820834083,180.0,US $180.00,https://www.ebay.com/itm/403820834083,45.0,128.0,246.15384615384616,0.0,0.0,0.0,0.0,0.0,0.0
428,benchmade,"Jul 23, 2022",https://i.ebayimg.com/images/g/IfIAAOSwXnpi2HWm/s-l500.jpg,185507790399,100.0,US $100.00,https://www.ebay.com/itm/185507790399,45.0,48.0,92.3076923076923,0.0,0.0,0.0,0.0,0.0,0.0
527,benchmade,"Jun 05, 2022",https://i.ebayimg.com/images/g/PLAAAOSwnC1iill6/s-l500.jpg,203981952356,200.0,US $200.00,https://www.ebay.com/itm/203981952356,45.0,148.0,284.61538461538464,0.0,0.0,0.0,0.0,0.0,0.0
