Image,url,title,Field4,price,shipping,Data_field
https://i.ebayimg.com/00/s/MTE0OVgxMjIx/z/8RwAAOSw74JjLfbN/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/234714355142?nordt=true&orig_cvip=true&rt=nc,Vintage Buck USA Bucklite 424 Brown Handle Lockback Pocket Knife,"Sep 29, 2022",$24.95,$0.00,234714355142
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/zd0AAOSw~s5jNiWG/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/115545137102?nordt=true&orig_cvip=true&rt=nc,Vintage Buck 110 Lockback Rosewood Knife,"Sep 29, 2022",$25.00,$0.00,115545137102
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/TEcAAOSwpsZjJdh1/$_57.JPG?set_id=880000500F,https://www.ebay.com/itm/374259346806?nordt=true&orig_cvip=true&rt=nc,BUCK USA 290 1 BLADE LOCK BACK BLACK HANDLES 2009 KNIFE,"Sep 29, 2022",$65.00,$4.95,374259346806
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/h8AAAOSw0tJjMiDs/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/144737856372?nordt=true&orig_cvip=true&rt=nc,Buck 110 LOT 1974 Two Dots 2003 2015 2016 Wix Filter Finger Grooves Knife Knives,"Sep 29, 2022",$241.06,$17.90,144737856372
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/zAcAAOSw6fNjNf27/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/225184102211?nordt=true&orig_cvip=true&rt=nc,Buck 112 Ranger Folding Knife with Leather Sheath ,"Sep 29, 2022",$30.00,$9.85,225184102211
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/0x4AAOSwayhjK7Xn/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/255738272358?nordt=true&orig_cvip=true&rt=nc,Buck USA Bantam BLACK 284 Folding Pocket Knife!,"Sep 29, 2022",$17.99,$0.00,255738272358
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/C4cAAOSw5sxjBFBk/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/295235702667?nordt=true&orig_cvip=true&rt=nc,2012 Buck 110 Folding Hunter Pocket Knife w Leather Sheath,"Sep 29, 2022",$58.88,$15.00,295235702667
https://i.ebayimg.com/00/s/NTcxWDEyMDA=/z/giAAAOSwOzhjL01V/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/255742660673?nordt=true&orig_cvip=true&rt=nc,Used Buck 373 Pocket Knife,"Sep 29, 2022",$10.57,$4.00,255742660673
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/hOsAAOSwCYdjNbbY/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/385142645639?nordt=true&orig_cvip=true&rt=nc,Vintage Buck 110 USA Folding Hunter Knife with Matching 110 Buck Leather Sheath ,"Sep 29, 2022",$40.05,$9.85,385142645639
https://i.ebayimg.com/00/s/OTQ0WDEyODA=/z/B-kAAOSw-GdjLJfG/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/334569024905?nordt=true&orig_cvip=true&rt=nc,Buck 110 Idaho USA Folding Knife Lock Blade Excellent! Dated 2005 Nylon Sheath ,"Sep 29, 2022",$39.99,$3.99,334569024905
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/bNMAAOSw-~djLJPs/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/144730545680?nordt=true&orig_cvip=true&rt=nc,Buck knifes (lot of 10) made in USA,"Sep 29, 2022",$63.00,$9.45,144730545680
https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/0JoAAOSwEGZjLydm/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/385133380659?nordt=true&orig_cvip=true&rt=nc,BUCK Workman 303 3-Blade Pocket Knife USA,"Sep 29, 2022",$22.19,$4.00,385133380659
