Image,Field,url,units_sold,Price,Field4,Field5,avg_price,avg_shipping
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/7WAAAOSw1~JZRegg/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/334166033231?nordt=true&orig_cvip=true&rt=nc,10 Case XX Grey Replacement Knife Boxes for Case XX Pocket Knife / Knives,84,"$1,578.90","Aug 10, 2022",,$18.80,$0.00
https://thumbs.ebaystatic.com/pict/3333428507506464_1.jpg,,,9,$380.38,"Feb 10, 2022",Case XX USA 6254 2-Blade Folding Plain Edge Trapper Knife (Various),$42.26,$0.00
https://thumbs.ebaystatic.com/pict/3341101601236464_1.jpg,,,7,$99.45,"Feb 15, 2022",5 Case XX Black Replacement Knife Boxes for Case XX Pocket Knife / Knives,$14.21,$0.00
https://thumbs.ebaystatic.com/pict/3341100388116464_1.jpg,,,7,$138.45,"Sep 30, 2021",10 Case XX Grey Replacement Knife Boxes for Case XX Pocket Knife / Knives,$19.78,$0.00
https://i.ebayimg.com/00/s/MTIyMlgxNjAw/z/6M0AAOSwdMdi2zrp/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/334510870792?nordt=true&orig_cvip=true&rt=nc,10 Case XX Replacement Knife Boxes for Case XX Pocket Knife / Knives,5,$98.55,"Aug 9, 2022",,$19.71,$0.00
https://thumbs.ebaystatic.com/pict/1444028531746464_1.jpg,https://www.ebay.com/itm/144402853174?nordt=true&orig_cvip=true&rt=nc,CASE XX Railroad Spike Anvil Knife Display With Magnets (~1 Pound),7,$268.73,"Mar 21, 2022",,$38.39,$9.65
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/W6sAAOSwJZJivEFD/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204016553911?nordt=true&orig_cvip=true&rt=nc,"Case XX 225L SS Executive Lockback Stainless Steel Handle Knife, Super Slim",4,$71.80,"Jul 15, 2022",,$17.95,$0.00
https://thumbs.ebaystatic.com/pict/2552100276566464_1.jpg,,,3,$242.25,"Dec 31, 2021",US 2014 Case XX Tested 3154LC CV Trapperlock Yellow Folding Pocket Knife,$80.75,$5.47
https://thumbs.ebaystatic.com/pict/4032350798486464_1.jpg,,,3,$195.00,"Dec 20, 2021",US 2014 Case XX Tested 62132 SS Baby Butterbean Pink HD Folding Pocket Knife a,$65.00,$5.96
https://thumbs.ebaystatic.com/pict/1138862991366464_1.jpg,,,2,$80.00,"May 6, 2022",CASE XX USA YELLOW SLIMLINE TRAPPER KNIFE 31048 CV ( VERRY NICE ),$40.00,$0.00
