Image,Field2,title,avg_price,avg_shipping
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/d9UAAOSw8Bphw6ag/$_1.JPG?set_id=880000500F,"Jun 30, 2022",Vintage SOG M33 Seki Japan Mini Gentleman Stainless Steel Folding Pocket Knife,$37.91,$30.17
https://thumbs.ebaystatic.com/pict/2333601100876464_1.jpg,"Mar 5, 2022",SOG Key Small Keychain Folding Pocket Knife (Various),$8.57,$0.00
https://thumbs.ebaystatic.com/pict/1549712511946464_1.jpg,"Jun 1, 2022",SOG Terminus Slip Joint Knife Tan G-10 BD1 Stainless Pocket Knives,$22.80,$4.25
https://thumbs.ebaystatic.com/pict/2035884546416464_1.jpg,"Oct 24, 2021",5” Black SOG Micron II (2) Folding Pocket Knife Clip Pt OR Tanto,$10.73,$0.00
https://i.ebayimg.com/00/s/MTA1OVgxNjAw/z/KiQAAOSwMtxih~p8/$_57.PNG?set_id=8800005007,"Aug 5, 2022",Group A Choice of Knife Sog Key - Korean 3 Blade Keychain Knife,$5.23,$0.00
https://thumbs.ebaystatic.com/pict/3736703622606464_1.jpg,"Dec 9, 2021",SOG Twitch II 2 Gray Assisted Opening Lockback Pocket Folding Knife S1,$26.07,$0.00
https://i.ebayimg.com/00/s/ODMyWDEyNzQ=/z/jYsAAOSwbuZibD1d/$_57.JPG?set_id=8800005007,"Jun 27, 2022",SOG Terminus Slip Joint Knife Black G-10 BD1 Stainless Pocket Knives,$22.46,$4.52
https://i.ebayimg.com/00/s/NjgzWDYwMw==/z/O-MAAOSwX7Fig8Rq/$_57.JPG?set_id=8800005007,"Jun 19, 2022","NEW SOG Cash Card - Money Clip Knife 2.75"" Stainless Steel",$25.00,$4.90
https://thumbs.ebaystatic.com/pict/3934307318596464_1.jpg,"Mar 23, 2022",SOG Micron II QAD Pocket Keychain Knife Lockback Plain Edge Blade ,$14.86,$0.00
https://i.ebayimg.com/00/s/MTA1OVgxNjAw/z/0m8AAOSwNkNieAdy/$_57.JPG?set_id=8800005007,"Jun 21, 2022",Choice Silver Black Gold SOG Taiwan Keychain Keyring Knife,$5.55,$0.00
