title,pictureURLLarge,converted_price,brand,profit,ROI
"benchmade 535 bugout® cpm-s30v blade grivory handle w/clip, green",https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/uTQAAOSw~YNja1S7/$_1.JPG,119.9,benchmade,56.313,117.31875
"manual benchmade 150802 crooked river wood knife, black",https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/DLcAAOSwc4Fjrpq~/$_1.JPG,199.99,benchmade,125.9913,262.481875
benchmade 537gy bailout cpm-3v tanto blade axis lock black folding knife,https://i.ebayimg.com/00/s/MTI4MFgxMjgw/z/GKwAAOSw4l9joXiV/$_1.JPG,124.9,benchmade,60.66300000000001,126.38125000000002
benchmade bugout bladehq 20cv with rockscale design titanium scales,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/t6QAAOSwfNRjsy9P/$_1.JPG,240.0,benchmade,160.8,335.0
new grizzly creek mini benchmade folding knife (brown),https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/sb4AAOSwTyJjqk0P/$_1.JPG,149.8,benchmade,82.32600000000002,171.51250000000005
"benchmade bugout 535 s30v titanium scales, tritium studs, ti clip, purple spacer",https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/99IAAOSwbGJjqhVI/$_1.JPG,260.0,benchmade,178.2,371.25
benchmade s30v,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/xCkAAOSw~yRjrckW/$_1.JPG,165.0,benchmade,95.55,199.06250000000003
"benchmade 940-1 osborne reverse tanto, m390 & carbon fiber",https://i.ebayimg.com/00/s/MTYwMFg3ODY=/z/WUAAAOSwh-djseRC/$_1.JPG,250.0,benchmade,169.5,353.125
used benchmade 945bk-1 mini osborne knife,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/ABoAAOSwhfNjrPua/$_1.JPG,137.0,benchmade,71.19,148.3125
"benchmade 535bk-2 bugout 3.24"" cpm-s30v black plain drop-point folding knife",https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/NyMAAOSwSotjvLAE/$_1.JPG,115.0,benchmade,52.05,108.4375
benchmade mini vallation,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/BtQAAOSwz~Vjs2O5/$_1.JPG,210.0,benchmade,134.7,280.625
benchmade bugout 535-3 carbon fiber cpm-s90v,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/MhEAAOSwLBJjvH1I/$_1.JPG,195.0,benchmade,121.65,253.43750000000003
benchmade 941ti-01 osborne axis s30v titanium limited edition folding knife,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/uuwAAOSwc-ZjsNhQ/$_1.JPG,1295.0,benchmade,1078.65,2247.1875
vintage benchmade 690-01 elishewitz micarta carbon fiber 154cm folding knife,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/ZpkAAOSw9edjslKI/$_1.JPG,275.0,benchmade,191.25,398.4375
benchmade 818gy-1901 mini-loco python micarta cpm 20cv smoke gray pvd (d77),https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/J5wAAOSwzXNju5h~/$_1.JPG,199.99,benchmade,125.9913,262.481875
benchmade tengu flipper 601 first production 1st 20cv,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/YKIAAOSwHPtjuzhJ/$_1.JPG,193.0,benchmade,119.91,249.8125
benchmade 940ti-91 gold class rare,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/j3sAAOSw6cdjjg1e/$_1.JPG,2665.75,benchmade,2271.2025,4731.671875
