Image,url,title,Field4,price_in_US,shipping_
https://i.ebayimg.com/images/g/mysAAOSwefpjtv8G/s-l1200.jpg,https://www.ebay.com/itm/175562212665?nordt=true&orig_cvip=true&rt=nc,1660 Kershaw Leek Knife silver plain Blade  assisted opener,"Jan 5, 2023",$20.00,$0.00
https://i.ebayimg.com/images/g/SNkAAOSwCbtjskoy/s-l1200.jpg,https://www.ebay.com/itm/185446319788?nordt=true&orig_cvip=true&rt=nc,Kershaw 1660 Leek Pocket Knife Stainless Plain Edge Assisted Opening Ken Onion,"Jan 5, 2023",$31.92,$5.25
https://i.ebayimg.com/images/g/hxoAAOSwyBtjn23P/s-l1200.png,https://www.ebay.com/itm/275585219880?nordt=true&orig_cvip=true&rt=nc,Kershaw Volt II 3650 Assisted Open Knife Plain Edge Blade - Great condition!,"Jan 5, 2023",$16.00,$5.00
https://i.ebayimg.com/images/g/lpsAAOSwG5tjrk2S/s-l1200.jpg,https://www.ebay.com/itm/295445451063?nordt=true&orig_cvip=true&rt=nc,Kershaw USA 1620 Scallion Assisted Opening Knife,"Jan 5, 2023",$24.99,$0.00
https://i.ebayimg.com/images/g/Zy8AAOSwopljri11/s-l1200.jpg,https://www.ebay.com/itm/295445437316?nordt=true&orig_cvip=true&rt=nc,Kershaw USA 1660PUR Leek Assisted Opening Knife,"Jan 5, 2023",$36.00,$0.00
https://i.ebayimg.com/images/g/u3EAAOSwIqRjs49M/s-l1200.jpg,https://www.ebay.com/itm/275603079862?nordt=true&orig_cvip=true&rt=nc,Kershaw Random Leek 1660R Assisted Folding Knife USA Reverse Tanto,"Jan 5, 2023",$44.00,$5.00
https://i.ebayimg.com/images/g/nVAAAOSwQRtjd-z~/s-l1200.png,https://www.ebay.com/itm/275586168764?nordt=true&orig_cvip=true&rt=nc,Kershaw Leek 1660CKT Black/Black 1600 EDC Folding Ken Onion Knife,"Jan 5, 2023",$33.00,$4.50
https://i.ebayimg.com/images/g/s-wAAOSwzB1jrkDl/s-l1200.jpg,https://www.ebay.com/itm/385322232251?nordt=true&orig_cvip=true&rt=nc,KERSHAW BLUR 1670blkst pocket knife spring assist Ken Onion design,"Jan 5, 2023",$36.00,$5.90
https://i.ebayimg.com/images/g/5mcAAOSwjrRjrjVr/s-l1200.jpg,https://www.ebay.com/itm/234839459393?nordt=true&orig_cvip=true&rt=nc,kershaw spring assisted pocket knife 1350,"Jan 5, 2023",$11.00,$5.85
https://i.ebayimg.com/images/g/gdAAAOSwIBZjrjbY/s-l1200.jpg,https://www.ebay.com/itm/125688239718?nordt=true&orig_cvip=true&rt=nc,Original Kershaw USA 1475 Storm II Folding Knife Made in the USA  Discounted ,"Jan 5, 2023",$75.00,$0.00
https://i.ebayimg.com/images/g/~SkAAOSw0VBi2uD~/s-l1200.jpg,https://www.ebay.com/itm/255641807281?nordt=true&orig_cvip=true&rt=nc,Kershaw Zing 1730BWH3 Pocket Knife ,"Jan 5, 2023",$13.50,$4.99
