Image,url,title,Field4,price_in_US,shipping_
https://i.ebayimg.com/images/g/YM4AAOSwUMFjsOwS/s-l1200.jpg,https://www.ebay.com/itm/314299721324?nordt=true&orig_cvip=true&rt=nc,SOG SPECIALTY KNIVES TWITCH II 2 BLACK LOCKBACK FOLDING KNIFE KNIVES SURVIVAL EC,"Jan 5, 2023",$26.00,$5.90
https://i.ebayimg.com/images/g/6VMAAOSwNhJjsdi4/s-l1200.jpg,https://www.ebay.com/itm/185720746351?nordt=true&orig_cvip=true&rt=nc,"SOG Kiku Folding Knife 3.50"", Limited Edition Kiku Matsuda Knife, Satin KU-3001","Jan 5, 2023",$77.00,$17.05
https://i.ebayimg.com/images/g/v-IAAOSwkoNjm4mt/s-l1200.jpg,https://www.ebay.com/itm/155333349954?nordt=true&orig_cvip=true&rt=nc,"SOG M-46 Topo Meridian Folding Knife 3.25"" Plain Edge Blade","Jan 5, 2023",$124.99,$5.90
https://i.ebayimg.com/images/g/RBIAAOSwDa9jq6rh/s-l1200.jpg,https://www.ebay.com/itm/354371547188?nordt=true&orig_cvip=true&rt=nc,SOG Micron II Pocket Keychain Knife Mid Lock Plain Edge Tanto Blade,"Jan 5, 2023",$12.00,$0.00
https://i.ebayimg.com/images/g/gsEAAOSwjSVjdo8d/s-l1200.jpg,https://www.ebay.com/itm/234784143973?nordt=true&orig_cvip=true&rt=nc,SOG FLASH 2 Combo Edge ASSISTED OPEN TACTICAL EDC POCKET KNIFE DISCOUNITNED ,"Jan 5, 2023",$39.00,$0.00
https://i.ebayimg.com/images/g/FX0AAOSwvu9joTww/s-l1200.jpg,https://www.ebay.com/itm/266049268147?nordt=true&orig_cvip=true&rt=nc,"SOG Twitch II Folding Knife 2.63"" AUS-8 Steel Blade Gray Aluminum Handle!!!","Jan 5, 2023",$39.97,$0.00
https://i.ebayimg.com/images/g/~z8AAOSwc09jo7fV/s-l1200.jpg,https://www.ebay.com/itm/334691154309?nordt=true&orig_cvip=true&rt=nc,Sog Trident AT Red Knife D2,"Jan 5, 2023",$25.00,$7.99
https://i.ebayimg.com/images/g/5G4AAOSwnlxjoRn4/s-l1200.png,https://www.ebay.com/itm/165857264201?nordt=true&orig_cvip=true&rt=nc,SOG SOGZilla Knife,"Jan 4, 2023",$27.50,$8.10
https://i.ebayimg.com/images/g/kuAAAOSwD4xjQFwD/s-l1200.jpg,https://www.ebay.com/itm/364008290997?nordt=true&orig_cvip=true&rt=nc,SOG Trident Elite Folding Knife,"Jan 4, 2023",$45.99,$5.45
https://i.ebayimg.com/images/g/X5cAAOSwgn1jrtXc/s-l1200.jpg,https://www.ebay.com/itm/134390653553?nordt=true&orig_cvip=true&rt=nc,#607 Black SOG Fielder G10 Liner Lock Knife,"Jan 4, 2023",$31.00,$0.00
