Image,url,title,Field4,price_in_US,shipping_
https://i.ebayimg.com/images/g/DYkAAOSwhJ5jty0V/s-l1200.jpg,https://www.ebay.com/itm/394408654612?nordt=true&orig_cvip=true&rt=nc,Benchmade 560BK1 Freek Folding Knife,"Jan 5, 2023",$140.00,$13.27
https://i.ebayimg.com/images/g/KW4AAOSwIpBjs6ig/s-l1200.jpg,https://www.ebay.com/itm/266067848542?nordt=true&orig_cvip=true&rt=nc,Benchmade Pink Griptilian 556 AXIS Assist 154CM Drop Point Knife,"Jan 5, 2023",$99.00,$6.50
https://i.ebayimg.com/images/g/PvoAAOSwEPhjs6ZH/s-l1200.jpg,https://www.ebay.com/itm/266067841410?nordt=true&orig_cvip=true&rt=nc,Benchmade Black Barrage 585 AXIS Assist Drop Point Knife,"Jan 5, 2023",$88.00,$6.50
https://i.ebayimg.com/images/g/oEkAAOSwR91jsXok/s-l1200.jpg,https://www.ebay.com/itm/155337381120?nordt=true&orig_cvip=true&rt=nc,"Benchmade 560BK-1 Freek Gray Black CPM M4 3.60"" Plain Edge Folding Knife","Jan 5, 2023",$179.00,$5.90
https://i.ebayimg.com/images/g/DLcAAOSwc4Fjrpq~/s-l1200.jpg,https://www.ebay.com/itm/314297176821?nordt=true&orig_cvip=true&rt=nc,"Manual BENCHMADE 150802 crooked river wood knife, Black","Jan 5, 2023",$157.50,$0.00
https://i.ebayimg.com/images/g/Js8AAOSweYdjsO5q/s-l1200.jpg,https://www.ebay.com/itm/234842445043?nordt=true&orig_cvip=true&rt=nc,BENCHMADE HECKLER KOCH HK P30 LOCKBACK FOLDING KNIFE KNIVES TACTICAL POCKET JACK,"Jan 5, 2023",$76.00,$5.90
https://i.ebayimg.com/images/g/0WYAAOSwE3ljsbBt/s-l1200.jpg,https://www.ebay.com/itm/275601364396?nordt=true&orig_cvip=true&rt=nc,585-2 benchmade Mini Barrage blue class knife. Satin blade. Mostly Displayed.,"Jan 5, 2023",$150.00,$5.85
https://i.ebayimg.com/images/g/MTAAAOSw5KljfycR/s-l1200.jpg,https://www.ebay.com/itm/374435736797?nordt=true&orig_cvip=true&rt=nc,BENCHMADE FOLDING KNIFE FECAS 10060 FIRST PRODUCTION RUN 2004 RARE HTF Xxo1,"Jan 5, 2023",$87.00,$7.50
https://i.ebayimg.com/images/g/kmQAAOSwy6Rjrirn/s-l1200.jpg,https://www.ebay.com/itm/255902569704?nordt=true&orig_cvip=true&rt=nc,Benchmade 940 Osborne Knife Green Aluminum Scales S30V Blade,"Jan 5, 2023",$161.50,$5.90
https://i.ebayimg.com/images/g/8UYAAOSwM5Ni2crn/s-l1200.jpg,https://www.ebay.com/itm/266051323250?nordt=true&orig_cvip=true&rt=nc,BENCHMADE Freek 560 Knife Black & Red G10 SCALES ONLY,"Jan 5, 2023",$49.99,$5.93
https://i.ebayimg.com/images/g/IbwAAOSw8sVjqkC2/s-l1200.jpg,https://www.ebay.com/itm/275594678416?nordt=true&orig_cvip=true&rt=nc,NOS! Benchmade 975-S Emerson Design ATS-34 Folding Tactical Knife,"Jan 5, 2023",$227.50,$12.60
https://i.ebayimg.com/images/g/CJcAAOSwh-FjtL2J/s-l1200.jpg,https://www.ebay.com/itm/165867031110?nordt=true&orig_cvip=true&rt=nc,Benchmade 551 Griptilian S30V Steel Orange Folding Knife Axis Lock 551-ORG-S30V,"Jan 5, 2023",$139.99,$0.00
https://i.ebayimg.com/images/g/d14AAOSwhMhjWiF8/s-l1200.jpg,https://www.ebay.com/itm/374323674540?nordt=true&orig_cvip=true&rt=nc,Benchmade Folding Knife 407 Vallation In Great Condition Axxx,"Jan 5, 2023",$200.00,$7.50
https://i.ebayimg.com/images/g/IxwAAOSw~b9js-sM/s-l1200.jpg,https://www.ebay.com/itm/185723061324?nordt=true&orig_cvip=true&rt=nc,"BENCHMADE 391GN SOCP AXIS Folder D2 Blade CF-Elite Handle Folding Knife, Green","Jan 5, 2023",$147.90,$0.00
https://i.ebayimg.com/images/g/CgAAAOSwvJpjrhQw/s-l1200.jpg,https://www.ebay.com/itm/234839371999?nordt=true&orig_cvip=true&rt=nc,Benchmade 810 Contego Folding Knife [CPM-M4] - Discontinued,"Jan 5, 2023",$199.99,$9.00
https://i.ebayimg.com/images/g/mmsAAOSw9Mdjjgaq/s-l1200.jpg,https://www.ebay.com/itm/295393078118?nordt=true&orig_cvip=true&rt=nc,"Benchmade Tactical Triage  Knife 3.48"" S30V Black Combo Blade, 917SBK","Jan 5, 2023",$75.00,$12.60
https://i.ebayimg.com/images/g/8YoAAOSwWo1jtFQJ/s-l1200.jpg,https://www.ebay.com/itm/295453378485?nordt=true&orig_cvip=true&rt=nc,Benchmade Heckler & Koch (HK 14452) PIka II Tanto Folding Knife,"Jan 5, 2023",$35.00,$6.10
https://i.ebayimg.com/images/g/aXgAAOSwxxBjrlBk/s-l1200.jpg,https://www.ebay.com/itm/255902422078?nordt=true&orig_cvip=true&rt=nc, Benchmade 890 Torrent knife discontinued ,"Jan 5, 2023",$134.26,$6.10
https://i.ebayimg.com/images/g/AJkAAOSwiNNjrgcB/s-l1200.jpg,https://www.ebay.com/itm/204200176587?nordt=true&orig_cvip=true&rt=nc,"Benchmade Griptilian AXIS Lock Knife, Gray/Blue G-10, By Mel Pardue","Jan 5, 2023",$185.00,$5.50
https://i.ebayimg.com/images/g/1~QAAOSwo4ZjrgNc/s-l1200.jpg,https://www.ebay.com/itm/115657324334?nordt=true&orig_cvip=true&rt=nc,Benchmade 15301-1 North Fork Folding Knife G10 s30v Great Condition! 040M,"Jan 5, 2023",$93.51,$6.10
https://i.ebayimg.com/images/g/PJYAAOSwO29jtxaG/s-l1200.jpg,https://www.ebay.com/itm/314306011981?nordt=true&orig_cvip=true&rt=nc,benchmade s30v knife 15080,"Jan 5, 2023",$90.00,$5.90
https://i.ebayimg.com/images/g/ldkAAOSwOuZjrnNt/s-l1200.jpg,https://www.ebay.com/itm/185726229563?nordt=true&orig_cvip=true&rt=nc,Used Bail Out 537GY V3 Ambidextrous Foldable Pocket Knife Custom Aluminum Handle,"Jan 5, 2023",$60.00,$6.75
https://i.ebayimg.com/images/g/Y-oAAOSwJUBjrPut/s-l1200.jpg,https://www.ebay.com/itm/334682125539?nordt=true&orig_cvip=true&rt=nc,"Benchmade 535 Bugout  Lightweight CPM-S30V Blade Folding Knife, Red","Jan 5, 2023",$116.90,$0.00
https://i.ebayimg.com/images/g/sb4AAOSwTyJjqk0P/s-l1200.jpg,https://www.ebay.com/itm/175550218255?nordt=true&orig_cvip=true&rt=nc,New grizzly creek mini BENCHMADE folding knife (Brown),"Jan 5, 2023",$137.92,$0.00
https://i.ebayimg.com/images/g/ovwAAOSw4L5jtueU/s-l1200.jpg,https://www.ebay.com/itm/185726128031?nordt=true&orig_cvip=true&rt=nc,Used Bail Out 537GY V3 Ambidextrous Foldable Pocket Knife Custom Serrated Black,"Jan 5, 2023",$60.00,$5.90
https://i.ebayimg.com/images/g/10gAAOSw89Fjtof9/s-l1200.jpg,https://www.ebay.com/itm/314305399205?nordt=true&orig_cvip=true&rt=nc,Benchmade 535-3 Bugout Carbon Fiber Handle CPM-S90V Blade Folding Knife,"Jan 5, 2023",$145.49,$0.00
https://i.ebayimg.com/images/g/25AAAOSwai1jtnp4/s-l1200.jpg,https://www.ebay.com/itm/185726147844?nordt=true&orig_cvip=true&rt=nc,Used Bail Out 537GY V3 Ambidextrous Foldable Pocket Knife Grivory CustomSerrated,"Jan 5, 2023",$65.00,$5.85
https://i.ebayimg.com/images/g/25AAAOSwai1jtnp4/s-l1200.jpg,https://www.ebay.com/itm/185726121255?nordt=true&orig_cvip=true&rt=nc,Used Bail Out 537GY V3 Ambidextrous Foldable Pocket Knife Grivory CustomSerrated,"Jan 5, 2023",$65.00,$5.85
https://i.ebayimg.com/images/g/GKwAAOSw4l9joXiV/s-l1200.jpg,https://www.ebay.com/itm/304752685243?nordt=true&orig_cvip=true&rt=nc,BENCHMADE 537GY Bailout CPM-3V Tanto Blade Axis Lock Black Folding Knife,"Jan 5, 2023",$124.90,$0.00
https://i.ebayimg.com/images/g/xrYAAOSw1kJjq4XQ/s-l1200.jpg,https://www.ebay.com/itm/325486801340?nordt=true&orig_cvip=true&rt=nc,Benchmade Bailout CPM-M4 Axis Pocket Knife Tanto Upgrades Pommel Delete 537GY-1,"Jan 5, 2023",$185.00,$6.50
https://i.ebayimg.com/images/g/7rwAAOSwaF9jreCy/s-l1200.jpg,https://www.ebay.com/itm/115657214346?nordt=true&orig_cvip=true&rt=nc,Benchmade Terani Aileron 737 Pocket Axis Knife ,"Jan 5, 2023",$250.00,$11.15
https://i.ebayimg.com/images/g/3Y4AAOSwhC5jtVIU/s-l1200.jpg,https://www.ebay.com/itm/404090082197?nordt=true&orig_cvip=true&rt=nc,BENCHMADE Hunt Crooked River 15080-2 Folding Knife CPM-S30V Clip-Point Blade ,"Jan 4, 2023",$169.90,$0.00
https://i.ebayimg.com/images/g/zw4AAOSwmrZjqdp3/s-l1200.jpg,https://www.ebay.com/itm/125682830224?nordt=true&orig_cvip=true&rt=nc,Benchmade Mini Adamas Folding Knife 273FE-2 CPM-CruWear Steel Blade,"Jan 4, 2023",$190.00,$6.10
https://i.ebayimg.com/images/g/SFkAAOSwwnBjtQQj/s-l1200.jpg,https://www.ebay.com/itm/225330980265?nordt=true&orig_cvip=true&rt=nc,BENCHMADE BLUE BOX TOOL KIT SET KNIFE REPAIR TOOLS POCKET KNIVES ECT.  Pre-Owned,"Jan 4, 2023",$20.00,$5.85
https://i.ebayimg.com/images/g/uZMAAOSwOS5jsnvo/s-l1200.jpg,https://www.ebay.com/itm/285096556484?nordt=true&orig_cvip=true&rt=nc,Kitchen Furniture: Mini brown 15060-2 grizzly BENCHMADE folding knife,"Jan 4, 2023",$125.00,$0.00
https://i.ebayimg.com/images/g/lhQAAOSwzrtjtVXQ/s-l1200.jpg,https://www.ebay.com/itm/204205319234?nordt=true&orig_cvip=true&rt=nc,"Classic new BENCHMADE 535 bugout®, green folding knife with clip","Jan 4, 2023",$121.00,$0.00
https://i.ebayimg.com/images/g/VJcAAOSw9fRjta5~/s-l1200.jpg,https://www.ebay.com/itm/314304385182?nordt=true&orig_cvip=true&rt=nc,"new BENCHMADE 810-1401 contego knifeworks folding knife, blue","Jan 4, 2023",$146.88,$0.00
https://i.ebayimg.com/images/g/piwAAOSwKLpjo5y-/s-l1200.jpg,https://www.ebay.com/itm/204199423295?nordt=true&orig_cvip=true&rt=nc,Benchmade Sequel 707 McHenry & Williams  Folding Knife,"Jan 4, 2023",$103.50,$5.40
https://i.ebayimg.com/images/g/GBQAAOSwyNBjkmVd/s-l1200.jpg,https://www.ebay.com/itm/165822401812?nordt=true&orig_cvip=true&rt=nc,Benchmade Sibert 275SBKSN Adamas AXIS Lock Knife Tan G-10,"Jan 4, 2023",$230.00,$0.00
https://i.ebayimg.com/images/g/02gAAOSw0SdjrMHC/s-l1200.jpg,https://www.ebay.com/itm/255900855308?nordt=true&orig_cvip=true&rt=nc,Benchmade Griptilian Axis Knife 154cm,"Jan 4, 2023",$95.00,$5.45
https://i.ebayimg.com/images/g/faoAAOSwGLFjrL6U/s-l1200.jpg,https://www.ebay.com/itm/295443248498?nordt=true&orig_cvip=true&rt=nc,Benchmade McHenry and Williams 710 Axis Knife - D2 Steel - DISCONTINUED,"Jan 4, 2023",$260.00,$12.60
https://i.ebayimg.com/images/g/ckIAAOSw9xxjtdoN/s-l1200.jpg,https://www.ebay.com/itm/295455550919?nordt=true&orig_cvip=true&rt=nc,Benchmade Mini Bugout 533 Folding Knife,"Jan 4, 2023",$95.00,$0.00
https://i.ebayimg.com/images/g/p54AAOSwQWdjcaPt/s-l1200.jpg,https://www.ebay.com/itm/295403662517?nordt=true&orig_cvip=true&rt=nc,Benchmade 535BK-2 Bugout Axis Lock S30V Folding Pocket Knife,"Jan 4, 2023",$125.00,$10.60
https://i.ebayimg.com/images/g/P2QAAOSwwpxjtMIc/s-l1200.jpg,https://www.ebay.com/itm/115662169354?nordt=true&orig_cvip=true&rt=nc,Benchmade 915 Tactical Triage Rescue - Folding Knife,"Jan 4, 2023",$120.00,$7.60
https://i.ebayimg.com/images/g/PpcAAOSwLzZjrvxk/s-l1200.jpg,https://www.ebay.com/itm/255903527438?nordt=true&orig_cvip=true&rt=nc,Used Benchmade 945 Pocket Knife,"Jan 4, 2023",$120.50,$4.50
https://i.ebayimg.com/images/g/~IIAAOSwluljtKbt/s-l1200.png,https://www.ebay.com/itm/385330831074?nordt=true&orig_cvip=true&rt=nc,Benchmade Bugout 535 S30V Blue Class Folding Knife,"Jan 4, 2023",$109.99,$0.00
https://i.ebayimg.com/images/g/-5AAAOSwkXJjoXtz/s-l1200.jpg,https://www.ebay.com/itm/144864640417?nordt=true&orig_cvip=true&rt=nc,Mini 535 bugout® green BENCHMADE folding knife With Clip,"Jan 3, 2023",$112.68,$0.00
https://i.ebayimg.com/images/g/66EAAOSwShpjrbmV/s-l1200.jpg,https://www.ebay.com/itm/125687609876?nordt=true&orig_cvip=true&rt=nc,Benchmade 10300 Monochrome Steiner Eisen Red Class N690 Discontinued Knife,"Jan 3, 2023",$50.00,$9.90
https://i.ebayimg.com/images/g/-cYAAOSw-ctjQGYY/s-l1200.jpg,https://www.ebay.com/itm/364028095229?nordt=true&orig_cvip=true&rt=nc,Benchmade USA 154cm McHenry & Williams Design Folding Pocket Knife,"Jan 3, 2023",$101.00,$11.59
https://i.ebayimg.com/images/g/DCoAAOSw4xtjsll5/s-l1200.jpg,https://www.ebay.com/itm/334687028065?nordt=true&orig_cvip=true&rt=nc,Benchmade 15006 Steep Country - Hunt Class Knife Sheath with Free Clip,"Jan 3, 2023",$139.50,$5.75
https://i.ebayimg.com/images/g/dJcAAOSw8h1jn5p2/s-l1200.jpg,https://www.ebay.com/itm/266059799530?nordt=true&orig_cvip=true&rt=nc,Benchmade 535-3 Bugout CPM-S90V Blade Carbon Fiber Handle Folding Knife,"Jan 3, 2023",$193.50,$12.60
https://i.ebayimg.com/images/g/Q6EAAOSwnA1jn3NQ/s-l1200.jpg,https://www.ebay.com/itm/266059799668?nordt=true&orig_cvip=true&rt=nc,Benchmade 551S30V 3.45 inch Griptilian Axis Knife,"Jan 3, 2023",$126.00,$6.10
https://i.ebayimg.com/images/g/p64AAOSwXBtjn2qd/s-l1200.jpg,https://www.ebay.com/itm/266059799959?nordt=true&orig_cvip=true&rt=nc,Benchmade 556 Mini-Griptilian Olive Drab 154CM AxisLock Knife,"Jan 3, 2023",$75.81,$6.10
https://i.ebayimg.com/images/g/~LEAAOSwq6Vjn2tz/s-l1200.jpg,https://www.ebay.com/itm/266059800134?nordt=true&orig_cvip=true&rt=nc,Benchmade 581 Barrage M390 Folding Plain Knife,"Jan 3, 2023",$203.50,$9.75
