Image,url,title,Field4,price_in_US,shipping_
https://i.ebayimg.com/images/g/itEAAOSwe~Rjtvzd/s-l1200.jpg,https://www.ebay.com/itm/334691682388?nordt=true&orig_cvip=true&rt=nc,Buck 419 Knife Folding Kalinga S30V Rare.    Excellent Condition,"Jan 5, 2023",$212.00,$10.00
https://i.ebayimg.com/images/g/Hl8AAOSwTEVjtI~e/s-l1200.jpg,https://www.ebay.com/itm/225330553218?nordt=true&orig_cvip=true&rt=nc,Vintage Buck Knife Holder Holster 110,"Jan 5, 2023",$15.99,$5.85
https://i.ebayimg.com/images/g/vxwAAOSwQoxjrlKP/s-l1200.jpg,https://www.ebay.com/itm/295445473778?nordt=true&orig_cvip=true&rt=nc,Buck USA 112 Lockback Pocket Knife 2019 Model,"Jan 5, 2023",$56.00,$0.00
https://i.ebayimg.com/images/g/TAYAAOSwMk1jrjS-/s-l1200.jpg,https://www.ebay.com/itm/295445439931?nordt=true&orig_cvip=true&rt=nc,Buck USA 303 Cadet Pocket Knife 2019 Model,"Jan 5, 2023",$28.00,$0.00
https://i.ebayimg.com/images/g/GQ8AAOSwvm1jj1hN/s-l1200.jpg,https://www.ebay.com/itm/285065681742?nordt=true&orig_cvip=true&rt=nc,Vintage 1994 Buck Knives 110 Folding Knife,"Jan 5, 2023",$32.90,$12.60
https://i.ebayimg.com/images/g/sq8AAOSwwe5jWJVo/s-l1200.jpg,https://www.ebay.com/itm/285091925698?nordt=true&orig_cvip=true&rt=nc,CUSTOM BUCK USA 301 + STOCKMAN KNIFE - JIGGED BONE Handle  USED CLEAN  1991,"Jan 5, 2023",$74.99,$5.00
https://i.ebayimg.com/images/g/y50AAOSwPXxjoqfp/s-l1200.jpg,https://www.ebay.com/itm/266050783894?nordt=true&orig_cvip=true&rt=nc,Buck 309 Pocket Knife~Early 1980’s~Vintage~2 Blade,"Jan 5, 2023",$16.99,$3.75
https://i.ebayimg.com/images/g/6cEAAOSwgDBi77EA/s-l1200.jpg,https://www.ebay.com/itm/325297236048?nordt=true&orig_cvip=true&rt=nc,VINTAGE BUCK KALINGA KNIFE IN BOX,"Jan 5, 2023",$210.00,$11.90
https://i.ebayimg.com/images/g/wTQAAOSwIUNi6HoF/s-l1200.jpg,https://www.ebay.com/itm/165779858863?nordt=true&orig_cvip=true&rt=nc,Buck #721 Slimline Folding Pocket Knife Discontinued,"Jan 5, 2023",$30.00,$5.00
https://i.ebayimg.com/images/g/yYAAAOSwUM1jrhXb/s-l1200.jpg,https://www.ebay.com/itm/165858962907?nordt=true&orig_cvip=true&rt=nc,Buck Bucklite Folding Pocket Knife 426 X Single Blade USA,"Jan 5, 2023",$32.69,$0.00
https://i.ebayimg.com/images/g/HIgAAOSwtD5jcWw4/s-l1200.jpg,https://www.ebay.com/itm/394333158969?nordt=true&orig_cvip=true&rt=nc,Limited Edition Buck 532 Bucklock Impala Burlwood Folding Knife 2004 LE 1000 Box,"Jan 5, 2023",$350.00,$11.25
https://i.ebayimg.com/images/g/DAMAAOSwAHJjpNW3/s-l1200.jpg,https://www.ebay.com/itm/385321976330?nordt=true&orig_cvip=true&rt=nc,Buck 693 Knife,"Jan 5, 2023",$35.00,$9.75
https://i.ebayimg.com/images/g/q8cAAOSwYrdjnGzv/s-l1200.jpg,https://www.ebay.com/itm/175530372683?nordt=true&orig_cvip=true&rt=nc,RARE Buck 110 Custom Turqouise Knife MUST SEE !!,"Jan 5, 2023",$117.50,$16.00
https://i.ebayimg.com/images/g/N3QAAOSwvS9jrgwY/s-l1200.jpg,https://www.ebay.com/itm/204200185901?nordt=true&orig_cvip=true&rt=nc,"Buck 385 Toothpick Knife, Compact Pocket Knife, Woodgrain Handle, 420J2 Blade","Jan 5, 2023",$23.50,$5.90
https://i.ebayimg.com/images/g/f9wAAOSwLUdjobVd/s-l1200.jpg,https://www.ebay.com/itm/394374626840?nordt=true&orig_cvip=true&rt=nc,Buck 112 Ranger 2 DOT Folding Knife with Leather Sheath 74 - 80',"Jan 5, 2023",$40.00,$10.00
https://i.ebayimg.com/images/g/dZwAAOSw~dZjnG1u/s-l1200.jpg,https://www.ebay.com/itm/394375865545?nordt=true&orig_cvip=true&rt=nc,Vntage Buck Knife #317 TRAIL BLAZER 2 Blade Folding Knife w/ #317 Sheath,"Jan 5, 2023",$77.00,$10.00
https://i.ebayimg.com/images/g/2CAAAOSwfCljrgSm/s-l1200.jpg,https://www.ebay.com/itm/255902388591?nordt=true&orig_cvip=true&rt=nc,VINTAGE BUCK FOLDING KNIFE,"Jan 5, 2023",$27.00,$6.00
https://i.ebayimg.com/images/g/yhYAAOSwBmFjrfvf/s-l1200.jpg,https://www.ebay.com/itm/304754323512?nordt=true&orig_cvip=true&rt=nc,"Buck USA 397-1 Omni Hunter Folding Knife 4"" Drop Point BLACK, USED","Jan 5, 2023",$40.00,$7.77
https://i.ebayimg.com/images/g/ti8AAOSwGoRjtShN/s-l1200.jpg,https://www.ebay.com/itm/394406706343?nordt=true&orig_cvip=true&rt=nc,Vintage Buck 313 MUSKRAT Two Blade Knife. New Old Stock. Made In USA,"Jan 5, 2023",$75.00,$10.00
https://i.ebayimg.com/images/g/1SkAAOSweU9jrfN-/s-l1200.jpg,https://www.ebay.com/itm/165858765809?nordt=true&orig_cvip=true&rt=nc,Buck 309 Pocket Knife 2006 in Wooden Box w/ Slide Lid,"Jan 5, 2023",$65.00,$11.15
https://i.ebayimg.com/images/g/UdYAAOSw1khjtgB5/s-l1200.jpg,https://www.ebay.com/itm/394407520553?nordt=true&orig_cvip=true&rt=nc,buck knife 112,"Jan 5, 2023",$40.00,$12.60
https://i.ebayimg.com/images/g/H7MAAOSwtKxjoiBc/s-l1200.jpg,https://www.ebay.com/itm/125687850161?nordt=true&orig_cvip=true&rt=nc,VTG BUCK 704V MAVERICK CLIP BLADE SLIP JOINT WOOD HANDLE FOLDING POCKET KNIFE,"Jan 5, 2023",$23.00,$5.50
https://i.ebayimg.com/images/g/OEoAAOSw6Yxjrj-J/s-l1200.jpg,https://www.ebay.com/itm/325481162185?nordt=true&orig_cvip=true&rt=nc,BUCK WHITTAKER MODEL 759 FOLDING POCKET KNIFE & BOTTLE OPENER  VGUC PINK,"Jan 5, 2023",$28.00,$7.50
https://i.ebayimg.com/images/g/af4AAOSw6-pjdQry/s-l1200.jpg,https://www.ebay.com/itm/255830998748?nordt=true&orig_cvip=true&rt=nc,Buck Knives USA 759 Metro black Folding Pocket Knife with Bottle Opener,"Jan 5, 2023",$18.01,$4.99
https://i.ebayimg.com/images/g/SCUAAOSwYTxjrePp/s-l1200.jpg,https://www.ebay.com/itm/364093974164?nordt=true&orig_cvip=true&rt=nc,Buck / Tops  CSAR-T Liasion Knife,"Jan 5, 2023",$113.50,$6.00
https://i.ebayimg.com/images/g/tG4AAOSwOUpjreOg/s-l1200.jpg,https://www.ebay.com/itm/144877552634?nordt=true&orig_cvip=true&rt=nc,Buck 501 pocket knife with sheath. ,"Jan 5, 2023",$31.00,$12.60
https://i.ebayimg.com/images/g/ZQcAAOSwkTRjrVZ8/s-l1200.jpg,https://www.ebay.com/itm/234839177111?nordt=true&orig_cvip=true&rt=nc,"9 Lot Roy Rodgers & Trigger, Buck 301V USA Pocket folding Knives Chevrolet Knife","Jan 5, 2023",$44.77,$9.00
https://i.ebayimg.com/images/g/lk8AAOSw~RNjsEEI/s-l1200.jpg,https://www.ebay.com/itm/374435013504?nordt=true&orig_cvip=true&rt=nc,#722 White 2020 Buck 722 Spitfire USA Lockback Knife W/Clip and Thumb Stud,"Jan 5, 2023",$79.00,$0.00
https://i.ebayimg.com/images/g/GWoAAOSwjD1jsDUu/s-l1200.jpg,https://www.ebay.com/itm/134392101237?nordt=true&orig_cvip=true&rt=nc,#619 Wood Handled 2021 Buck 346 Vantage Avid Large LinerLock Knife Thumb Stud,"Jan 5, 2023",$41.00,$0.00
