Image,url,title,Field4,price_in_US,shipping_
https://i.ebayimg.com/images/g/U4kAAOSwBmFjrmNf/s-l1200.jpg,https://www.ebay.com/itm/185717561861?nordt=true&orig_cvip=true&rt=nc,CASE XX KNIFE DISPLAY 13X9X24 (KNIVES NOT INCLUDED),"Jan 5, 2023",$222.50,$26.60
https://i.ebayimg.com/images/g/6vgAAOSwfNRjrmCA/s-l1200.jpg,https://www.ebay.com/itm/185717549205?nordt=true&orig_cvip=true&rt=nc,CASE XX LARGE SOD BUSTER 90S MODEL KNIFE NEVER USED OR CARRIED,"Jan 5, 2023",$25.55,$5.85
https://i.ebayimg.com/images/g/faQAAOSwxxBjrl35/s-l1200.jpg,https://www.ebay.com/itm/185717541631?nordt=true&orig_cvip=true&rt=nc,CASE XX 62031 Hawkbill LHR ELC KNIFE 90s model Never Carried Or Used,"Jan 5, 2023",$60.00,$4.95
https://i.ebayimg.com/images/g/qkwAAOSwanliebuu/s-l1200.jpg,https://www.ebay.com/itm/295445514988?nordt=true&orig_cvip=true&rt=nc,Case XX USA 3254 SS Trapper Pocket Knife Yellow,"Jan 5, 2023",$39.00,$0.00
https://i.ebayimg.com/images/g/iWUAAOSwtx1js54g/s-l1200.jpg,https://www.ebay.com/itm/314302110640?nordt=true&orig_cvip=true&rt=nc,Case XX 6207 SS Mini Trapper Independence Declaration Of Independence Knife,"Jan 5, 2023",$44.65,$5.85
https://i.ebayimg.com/images/g/5B0AAOSw0RFjs50A/s-l1200.jpg,https://www.ebay.com/itm/266067793863?nordt=true&orig_cvip=true&rt=nc,Case XX 6207 SS Mini Trapper The Liberty Bell Pocket Knife Rare,"Jan 5, 2023",$36.00,$5.85
https://i.ebayimg.com/images/g/8~wAAOSwFJJjs5t3/s-l1200.jpg,https://www.ebay.com/itm/314302105012?nordt=true&orig_cvip=true&rt=nc,Case XX 6207 SS Mini Trapper The Declaration Of Independence  Pocket Knife Rare,"Jan 5, 2023",$26.01,$5.85
https://i.ebayimg.com/images/g/D-QAAOSwaF9js5rj/s-l1200.jpg,https://www.ebay.com/itm/266067771199?nordt=true&orig_cvip=true&rt=nc,Case XX 6207 SS Mini Trapper Freedom Pocket Knife Very Rare,"Jan 5, 2023",$35.10,$5.85
https://i.ebayimg.com/images/g/BfIAAOSwiv1js5oW/s-l1200.jpg,https://www.ebay.com/itm/314302102422?nordt=true&orig_cvip=true&rt=nc,Case XX 6207 SS Mini Trapper United We Stand Bone Pocket Knife,"Jan 5, 2023",$37.00,$5.85
https://i.ebayimg.com/images/g/wL4AAOSwnStjrkyF/s-l1200.jpg,https://www.ebay.com/itm/275598390220?nordt=true&orig_cvip=true&rt=nc,"2x lot CASE XX 18224 RUSSLOCK POCKET KNIFE  4 1/4"" CLOSED 61953LSS","Jan 5, 2023",$102.50,$11.90
https://i.ebayimg.com/images/g/LhcAAOSwRu1jreSH/s-l1200.jpg,https://www.ebay.com/itm/175554046113?nordt=true&orig_cvip=true&rt=nc,2006 CASE XX 6488 SS CARIBBEAN BLUE LARGE CONGRESS 08521 POCKET KNIFE MIB RARE,"Jan 5, 2023",$181.50,$0.00
https://i.ebayimg.com/images/g/C2oAAOSwCmhjreUT/s-l1200.jpg,https://www.ebay.com/itm/175553679869?nordt=true&orig_cvip=true&rt=nc,2006 CASE XX 6488 SS OLD RED LARGE CONGRESS 08525 POCKET KNIFE MIB RARE,"Jan 5, 2023",$190.50,$0.00
https://i.ebayimg.com/images/g/9eYAAOSwjOdjk6m3/s-l1200.png,https://www.ebay.com/itm/134359122138?nordt=true&orig_cvip=true&rt=nc,Case XX Knife 8220 SS Peanut Mother Of Pearl,"Jan 5, 2023",$152.50,$5.00
https://i.ebayimg.com/images/g/mGUAAOSwXhZjref2/s-l1200.jpg,https://www.ebay.com/itm/175553679096?nordt=true&orig_cvip=true&rt=nc,2006 CASE XX 6488 SS KENTUCKY BLUEGRASS LARGE CONGRESS 08529 POCKET KNIFE RARE,"Jan 5, 2023",$167.50,$0.00
https://i.ebayimg.com/images/g/GOwAAOSwdfdjaHfd/s-l1200.jpg,https://www.ebay.com/itm/403980833090?nordt=true&orig_cvip=true&rt=nc,Case XX 2011 Sea Green 61953L Russlock 1 of 3000 Limited Edition Pocket Knife,"Jan 5, 2023",$79.99,$0.00
https://i.ebayimg.com/images/g/oToAAOSwBitjTDRD/s-l1200.jpg,https://www.ebay.com/itm/255905758389?nordt=true&orig_cvip=true&rt=nc,Case 25-1/2 USA Small Coke Bottle Knife 1974 Brown bone,"Jan 5, 2023",$70.00,$4.00
