Image,url,date_sold,price_in_US,shipping_,title,Text
https://i.ebayimg.com/images/g/PtcAAOSw6YxjuhG7/s-l1200.jpg,https://www.ebay.com/itm/295461277795?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$9.00,$5.50,Case knife ,''Case knife Case knife 
https://i.ebayimg.com/images/g/3ZcAAOSwDLRjsxXw/s-l1200.jpg,https://www.ebay.com/itm/125696731617?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$97.00,$10.00,Case xxx Changer Knife,''Case xxx Changer KnifeCase xxx Changer Knife
https://i.ebayimg.com/images/g/~o8AAOSw~Z1juhCf/s-l1200.jpg,https://www.ebay.com/itm/295461199376?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$7.00,$5.85,Case knife,''Case knifeCase knife
https://i.ebayimg.com/images/g/IacAAOSwanZjsa3W/s-l1200.jpg,https://www.ebay.com/itm/304757103993?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$49.80,$5.50,Case 3254 cv USA 2003 Yellow - CV Blade Steel Trapper NICE EVERYDAY CARRY KNIFE,''Case 3254 cv USA 2003 Yellow - CV Blade Steel Trapper NICE EVERYDAY CARRY KNIFECase 3254 cv USA 2003 Yellow - CV Blade Steel Trapper NICE EVERYDAY CARRY KNIFE
https://i.ebayimg.com/images/g/RHwAAOSwdZVjlhY3/s-l1200.jpg,https://www.ebay.com/itm/275575633940?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$30.00,$4.25,VINTAGE 1940-85 CASE XX USA PUMPKIN KNIFE BOX - 5265 STAG HUNTER POCKET KNIFE NM,''VINTAGE 1940-85 CASE XX USA PUMPKIN KNIFE BOX - 5265 STAG HUNTER POCKET KNIFE NMVINTAGE 1940-85 CASE XX USA PUMPKIN KNIFE BOX - 5265 STAG HUNTER POCKET KNIFE NM
https://i.ebayimg.com/images/g/6GIAAOSwDdZjp0ox/s-l1200.jpg,https://www.ebay.com/itm/225326821972?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$125.00,$4.95,Case XX 6282SP SS Antique Handle Baby Doc Doctor Knife Original Box,''Case XX 6282SP SS Antique Handle Baby Doc Doctor Knife Original BoxCase XX 6282SP SS Antique Handle Baby Doc Doctor Knife Original Box
https://i.ebayimg.com/images/g/uU0AAOSwCzljn~lH/s-l1200.jpg,https://www.ebay.com/itm/285095567514?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$120.00,$10.00,CASE SINGLE BLADE FOLDING KNIFE MODEL 06105OSAB YR.1972 VERY GOOD+++ WOOD SCALES,''CASE SINGLE BLADE FOLDING KNIFE MODEL 06105OSAB YR.1972 VERY GOOD+++ WOOD SCALESCASE SINGLE BLADE FOLDING KNIFE MODEL 06105OSAB YR.1972 VERY GOOD+++ WOOD SCALES
https://i.ebayimg.com/images/g/CUwAAOSwnRtjq2p8/s-l1200.jpg,https://www.ebay.com/itm/185723650963?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$24.99,$0.00,Case Cutlery Harley Davidson Tec X Framelock Gray Folding Pocket Knife 52163,''Case Cutlery Harley Davidson Tec X Framelock Gray Folding Pocket Knife 52163Case Cutlery Harley Davidson Tec X Framelock Gray Folding Pocket Knife 52163
https://i.ebayimg.com/images/g/fSYAAOSwSsZjnqhu/s-l1200.jpg,https://www.ebay.com/itm/285079807055?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$159.99,$8.00,VINTAGE BONE CASE/WINCHESTER CLASSICS 1990 62091 LARGE JackKnife POCKET KNIFE,''VINTAGE BONE CASE/WINCHESTER CLASSICS 1990 62091 LARGE JackKnife POCKET KNIFEVINTAGE BONE CASE/WINCHESTER CLASSICS 1990 62091 LARGE JackKnife POCKET KNIFE
https://i.ebayimg.com/images/g/jYYAAOSwqedjr2Tj/s-l1200.jpg,https://www.ebay.com/itm/364095134538?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$31.01,$6.95,16 CASE KNIFE BOXES,''16 CASE KNIFE BOXES16 CASE KNIFE BOXES
