Image,url,title,Field4,price_in_US,shipping_
https://i.ebayimg.com/images/g/yv4AAOSwxHVjqj41/s-l1200.jpg,https://www.ebay.com/itm/266058575726?nordt=true&orig_cvip=true&rt=nc,VTG CASE XX USA P158 LSSP MAKO SHARK LOCK BACK KNIFE 9dot c1981 w/BOX PAPERWORK,"Jan 5, 2023",$95.00,$6.85
https://i.ebayimg.com/images/g/or4AAOSw43ZjreOm/s-l1200.jpg,https://www.ebay.com/itm/404080796638?nordt=true&orig_cvip=true&rt=nc,Case XX Muskrat Knife 5 Dot 1975 Genuine Bone Gorgeous Bone Light Use NICE! NR,"Jan 5, 2023",$144.50,$6.95
https://i.ebayimg.com/images/g/F8YAAOSw4Tljrkqw/s-l1200.jpg,https://www.ebay.com/itm/364094383451?nordt=true&orig_cvip=true&rt=nc,Case Rut Season Red Stag Copperlock Knife 1999 SFO AWESOME Stag RARE & MIB! NR,"Jan 5, 2023",$184.46,$6.95
https://i.ebayimg.com/images/g/SN4AAOSwBoNjomqf/s-l1200.jpg,https://www.ebay.com/itm/134376462817?nordt=true&orig_cvip=true&rt=nc,"CASE 6.54052 SS Medium Congress Knife, Bonestag Handles, 2002,  Used Knife","Jan 5, 2023",$50.00,$5.00
https://i.ebayimg.com/images/g/q0sAAOSwXYBjriXq/s-l1200.jpg,https://www.ebay.com/itm/404081171674?nordt=true&orig_cvip=true&rt=nc,Case Canoe Knife 2008 Red & White CASE XX Embellished Handle Rare SFO MIB! NR,"Jan 5, 2023",$183.50,$6.95
https://i.ebayimg.com/images/g/vUwAAOSw389jreyn/s-l1200.jpg,https://www.ebay.com/itm/134389684737?nordt=true&orig_cvip=true&rt=nc,Case Trapper Knife 7 Dot 1973 Bone Handles Stainless Blades GREAT 1 2 Carry! NR,"Jan 5, 2023",$67.01,$5.95
https://i.ebayimg.com/images/g/DmMAAOSw7sFjZdZo/s-l1200.jpg,https://www.ebay.com/itm/304689165348?nordt=true&orig_cvip=true&rt=nc,"CASE KNIFE / 3254SS / TRAPPER / ""JOHNNY REB"" / 1984 / #0552","Jan 5, 2023",$149.99,$9.99
https://i.ebayimg.com/images/g/fikAAOSwZT9jmmc9/s-l1200.jpg,https://www.ebay.com/itm/185698858830?nordt=true&orig_cvip=true&rt=nc,Case Knife 33092 Birdseye Stockman With Box,"Jan 5, 2023",$100.00,$5.50
https://i.ebayimg.com/images/g/DyQAAOSwUV1jtgxk/s-l1200.jpg,https://www.ebay.com/itm/364100133198?nordt=true&orig_cvip=true&rt=nc,Case BW254 SS Trapper North American Hunting Club LIFE Member Knife 2614,"Jan 5, 2023",$30.00,$5.54
https://i.ebayimg.com/images/g/iDkAAOSwD7Jji3iB/s-l1200.jpg,https://www.ebay.com/itm/275600627800?nordt=true&orig_cvip=true&rt=nc,1940-65 CASE XX USA A62009 1/2 BARLOW APPALOOSA BONE POCKET KNIFE - User / Parts,"Jan 5, 2023",$28.75,$4.25
https://i.ebayimg.com/images/g/CaQAAOSwA7Fjp8xX/s-l1200.jpg,https://www.ebay.com/itm/185717178456?nordt=true&orig_cvip=true&rt=nc,Case 62131 Canoe Knife 2 Blade Bone Handles Crack Free Never sharpened,"Jan 5, 2023",$24.99,$5.30
https://i.ebayimg.com/images/g/PsIAAOSweTtjtgou/s-l1200.jpg,https://www.ebay.com/itm/364100122223?nordt=true&orig_cvip=true&rt=nc,"1991 CASE XX OPERATION DESERT SHIELD / DESERT STORM ""Spirit of Freedom"" Knife","Jan 5, 2023",$35.00,$6.46
https://i.ebayimg.com/images/g/6g0AAOSwQTRjtynj/s-l1200.jpg,https://www.ebay.com/itm/404092527108?nordt=true&orig_cvip=true&rt=nc,"Case Knife 10"" Long","Jan 5, 2023",$50.00,$7.50
https://i.ebayimg.com/images/g/vLAAAOSwrcpjr7bP/s-l1200.jpg,https://www.ebay.com/itm/394401704633?nordt=true&orig_cvip=true&rt=nc,Case XX 4220 SS Smooth Orange Synthetic - Peanut Pocket Knife,"Jan 5, 2023",$30.00,$0.00
https://i.ebayimg.com/images/g/rB0AAOSwrHdjpI~O/s-l1200.png,https://www.ebay.com/itm/266062143838?nordt=true&orig_cvip=true&rt=nc,"VINTAGE 1977 CASE XX POCKET KNIFE, STOCKMAN, 3-DOT, BLUE SCROLL, STAG, 5347 SSP","Jan 5, 2023",$153.50,$6.00
https://i.ebayimg.com/images/g/u3IAAOSwSt5jPMUN/s-l1200.jpg,https://www.ebay.com/itm/314258512464?nordt=true&orig_cvip=true&rt=nc,"Case KNIFE Medallion Shield ONLY, 1/2""","Jan 5, 2023",$7.90,$3.75
https://i.ebayimg.com/images/g/esAAAOSwZZ9jrlg~/s-l1200.jpg,https://www.ebay.com/itm/394400328766?nordt=true&orig_cvip=true&rt=nc,Used Case 5220SS Stag Peanut Knife b,"Jan 5, 2023",$61.00,$0.00
https://i.ebayimg.com/images/g/guMAAOSwqp9jrR04/s-l1200.jpg,https://www.ebay.com/itm/185716342630?nordt=true&orig_cvip=true&rt=nc,small case knife 6220 ss,"Jan 4, 2023",$27.00,$4.95
https://i.ebayimg.com/images/g/0nAAAOSweExjln6~/s-l1200.jpg,https://www.ebay.com/itm/234816875091?nordt=true&orig_cvip=true&rt=nc,NIB W.R. Case & Sons Cutlery Co. Case Knife No 60187 White Handle Red Logo,"Jan 4, 2023",$29.99,$5.45
https://i.ebayimg.com/images/g/740AAOSwSfhjrPKh/s-l1200.jpg,https://www.ebay.com/itm/115656375223?nordt=true&orig_cvip=true&rt=nc,Case XX USA 3254 SS Two Stainless Steel Blade Trapper Pocket Knife 10 Dots,"Jan 4, 2023",$42.00,$5.50
https://i.ebayimg.com/images/g/ZqgAAOSwP3Njsk-l/s-l1200.jpg,https://www.ebay.com/itm/266066458949?nordt=true&orig_cvip=true&rt=nc,Case Sidewinder Knife 10 Dot 1980 Issue Fabulous Complete From Collection MIB NR,"Jan 4, 2023",$380.00,$10.85
https://i.ebayimg.com/images/g/mW0AAOSweH5jsk6t/s-l1200.jpg,https://www.ebay.com/itm/314300808525?nordt=true&orig_cvip=true&rt=nc,Case Cutlery 9207 Red White & Blue Engraved Mini Trapper Pocket Knife Very Rare,"Jan 4, 2023",$58.99,$2.61
