Image,url,title,Field4,price_in_US,shipping_
https://i.ebayimg.com/images/g/9hMAAOSw2RpjcAOD/s-l1200.jpg,https://www.ebay.com/itm/275537703449?nordt=true&orig_cvip=true&rt=nc,Rare PINK Spyderco Ladybug 1 Original Folding Knife Vintage - Great Condition,"Jan 5, 2023",$119.00,$5.00
https://i.ebayimg.com/images/g/4XkAAOSwxxBjs52i/s-l1200.jpg,https://www.ebay.com/itm/266067805694?nordt=true&orig_cvip=true&rt=nc,Spyderco Black on Black Delica 4 Half Serrated Edge VG-10 Blade Knife ,"Jan 5, 2023",$35.00,$6.50
https://i.ebayimg.com/images/g/t7EAAOSwMqpjs5cp/s-l1200.jpg,https://www.ebay.com/itm/266067757103?nordt=true&orig_cvip=true&rt=nc,Spyderco Endura H-1 Black Plain Edge H-1 Blade Knife,"Jan 5, 2023",$35.00,$6.50
https://i.ebayimg.com/images/g/HUoAAOSw1NNjrNHw/s-l1200.jpg,https://www.ebay.com/itm/325487034577?nordt=true&orig_cvip=true&rt=nc,Spyderco Endura 6 inch Endura 4 Folder Knife - C10SBK,"Jan 5, 2023",$60.00,$5.50
https://i.ebayimg.com/images/g/~bsAAOSw9dFjtafj/s-l1200.jpg,https://www.ebay.com/itm/144886211394?nordt=true&orig_cvip=true&rt=nc,"Spyderco Byrd Lightweight Folding Knife, Hollow Grind, BY22SBK","Jan 5, 2023",$24.00,$0.00
https://i.ebayimg.com/images/g/xhgAAOSwsbJiqL8f/s-l1200.jpg,https://www.ebay.com/itm/203993773071?nordt=true&orig_cvip=true&rt=nc,Spyderco Paramilitary 2 Copper Knife REX 45 Steel C81CUP2 Sprint Run + Coin,"Jan 5, 2023",$295.00,$15.99
https://i.ebayimg.com/images/g/LUUAAOSwLzZjtt7U/s-l1200.jpg,,,"Jan 5, 2023",$150.00,$6.00
https://i.ebayimg.com/images/g/U54AAOSwDF5jqjlF/s-l1200.jpg,https://www.ebay.com/itm/175498888042?nordt=true&orig_cvip=true&rt=nc,Spyderco USA Native  S35VN Lockback Pocket Knife - Golden Colorado USA,"Jan 5, 2023",$122.50,$10.00
https://i.ebayimg.com/images/g/9VkAAOSwIAdjqjpT/s-l1200.jpg,https://www.ebay.com/itm/175498874091?nordt=true&orig_cvip=true&rt=nc,"Spyderco HARLEY DAVIDSON Folding Knife 3.38"" 9Cr13MoV Steel Blade","Jan 5, 2023",$60.00,$10.00
https://i.ebayimg.com/images/g/ye4AAOSwQnNjrgL3/s-l1200.png,https://www.ebay.com/itm/185717226142?nordt=true&orig_cvip=true&rt=nc,2 KNIFE LOT - FOX FOLDING KARAMBIT & SPYDERCO (USED),"Jan 5, 2023",$118.00,$6.99
https://i.ebayimg.com/images/g/NJsAAOSw2cdjrfPf/s-l1200.jpg,https://www.ebay.com/itm/195537673536?nordt=true&orig_cvip=true&rt=nc,Spyderco Manix 2 XL G-10 Folding Knife - Black,"Jan 5, 2023",$120.50,$7.00
https://i.ebayimg.com/images/g/NzcAAOSwNlVjreEg/s-l1200.jpg,https://www.ebay.com/itm/115657215134?nordt=true&orig_cvip=true&rt=nc,Spyderco Emerson Karahawk VG-10 Folding Knife Stainless,"Jan 5, 2023",$155.00,$6.00
https://i.ebayimg.com/images/g/6bcAAOSwaEtjtYet/s-l1200.jpg,https://www.ebay.com/itm/144886058563?nordt=true&orig_cvip=true&rt=nc,Spyderco Tenacious Pocket Knife,"Jan 5, 2023",$31.00,$0.00
https://i.ebayimg.com/images/g/4I8AAOSw2cljmg5D/s-l1200.jpg,https://www.ebay.com/itm/266041006995?nordt=true&orig_cvip=true&rt=nc,"Spyderco Bradley Folder 2 Folding Knife,CPM M4 Steel Blade - PlainEdge | Black","Jan 5, 2023",$145.99,$0.00
https://i.ebayimg.com/images/g/LBIAAOSwN2Bjsqi9/s-l1200.jpg,https://www.ebay.com/itm/144882833105?nordt=true&orig_cvip=true&rt=nc,SPYDERCO LC200N YELLOW GOLDEN COLORADO U.S.A EARTH KNIFE. UNUSED,"Jan 4, 2023",$112.00,$6.00
https://i.ebayimg.com/images/g/c~wAAOSwIjdje-6k/s-l1200.jpg,https://www.ebay.com/itm/175499273081?nordt=true&orig_cvip=true&rt=nc,Spyderco C237GP Blade Knife - Black,"Jan 4, 2023",$175.00,$5.90
https://i.ebayimg.com/images/g/lJYAAOSwbDtjr6u3/s-l1200.jpg,https://www.ebay.com/itm/275599635865?nordt=true&orig_cvip=true&rt=nc,Spyderco C89FPGR Atlantic Salt Green FRN Folding Knife LC200N Plain Edge Blade,"Jan 4, 2023",$84.92,$7.00
https://i.ebayimg.com/images/g/GlgAAOSweRZjrQW9/s-l1200.png,https://www.ebay.com/itm/374430994477?nordt=true&orig_cvip=true&rt=nc,Spyderco C36GPBK Knife,"Jan 4, 2023",$142.51,$0.00
https://i.ebayimg.com/images/g/NGYAAOSwxJJi8qEg/s-l1200.jpg,https://www.ebay.com/itm/185532344020?nordt=true&orig_cvip=true&rt=nc,Spyderco Tenacious Black Folding Pocket Knife Combination Edge C122GBBKPS,"Jan 4, 2023",$42.99,$4.28
https://i.ebayimg.com/images/g/nT4AAOSwxUJjQExh/s-l1200.jpg,https://www.ebay.com/itm/265923943383?nordt=true&orig_cvip=true&rt=nc,"Spyderco ClipiTool Folding Knife, 2.0” 8Cr13MoV Steel Blade |  C176P&S","Jan 4, 2023",$29.99,$0.00
https://i.ebayimg.com/images/g/LxYAAOSwWcljmV8M/s-l1200.png,https://www.ebay.com/itm/374434525176?nordt=true&orig_cvip=true&rt=nc,Spyderco Civilian G-10 Black VG-10 Serrated 'S' Curved Folding Knife Blade -Used,"Jan 4, 2023",$129.00,$10.00
https://i.ebayimg.com/images/g/nFkAAOSw9ghjjYiZ/s-l1200.jpg,https://www.ebay.com/itm/304753417599?nordt=true&orig_cvip=true&rt=nc,Spyderco Watu Folding Knife (C251CFP),"Jan 4, 2023",$131.50,$5.85
https://i.ebayimg.com/images/g/GlYAAOSwTyZjteQS/s-l1200.jpg,https://www.ebay.com/itm/115663147330?nordt=true&orig_cvip=true&rt=nc,spyderco tenacious knife,"Jan 4, 2023",$40.00,$0.00
https://i.ebayimg.com/images/g/wiAAAOSwF45jrKtS/s-l1200.jpg,https://www.ebay.com/itm/165857057418?nordt=true&orig_cvip=true&rt=nc,Spyderco Native 5 FRN CPM SPY27 Stainless Steel 2.5'' Lockback Knife - Cobalt...,"Jan 4, 2023",$114.50,$0.00
https://i.ebayimg.com/images/g/KWcAAOSwx19js51B/s-l1200.jpg,https://www.ebay.com/itm/175558860159?nordt=true&orig_cvip=true&rt=nc,Spyderco C85GPBBK2 Yojimbo 2  3.11 inch Folding Knife - All Black Used,"Jan 4, 2023",$120.00,$15.00
https://i.ebayimg.com/images/g/faAAAOSwevRjjPAy/s-l1200.jpg,https://www.ebay.com/itm/385273998140?nordt=true&orig_cvip=true&rt=nc,Spyderco Para 3 Liner Lock Knife Black FRN Handle BD1N C223PBBK,"Jan 4, 2023",$95.00,$0.00
https://i.ebayimg.com/images/g/p8UAAOSwnRtjrIUH/s-l1200.jpg,https://www.ebay.com/itm/325479447050?nordt=true&orig_cvip=true&rt=nc,Spyderco C85GPBBK2 Yojimbo 2 Michael Janich Design 3.11 inch Folding Knife,"Jan 4, 2023",$157.50,$9.75
https://i.ebayimg.com/images/g/okUAAOSwMa9jrIRS/s-l1200.jpg,https://www.ebay.com/itm/325479444146?nordt=true&orig_cvip=true&rt=nc,Spyderco C85GPBBK2 Yojimbo 2 Michael Janich Design 3.11 inch Folding Knife,"Jan 4, 2023",$177.50,$10.85
https://i.ebayimg.com/images/g/1kkAAOSwykNjrG9Y/s-l1200.jpg,https://www.ebay.com/itm/125685973610?nordt=true&orig_cvip=true&rt=nc,"Spyderco Delica 4 Folding Knife VG10 Satin Plain Blade, Stainless C11P MINT!","Jan 4, 2023",$91.00,$5.90
https://i.ebayimg.com/images/g/GkgAAOSwKJtjswzL/s-l1200.jpg,https://www.ebay.com/itm/385328524522?nordt=true&orig_cvip=true&rt=nc,Spyderco Matriarch 2 SpyderEdge Folding Knife - Black/Silver (C12SBK2),"Jan 4, 2023",$75.00,$6.00
https://i.ebayimg.com/images/g/HUoAAOSw1NNjrNHw/s-l1200.jpg,https://www.ebay.com/itm/325479784646?nordt=true&orig_cvip=true&rt=nc,Spyderco Endura 6 inch Endura 4 Folder Knife - C10SBK,"Jan 4, 2023",$60.00,$5.45
https://i.ebayimg.com/images/g/WU0AAOSwEnljrEKx/s-l1200.jpg,https://www.ebay.com/itm/374429836571?nordt=true&orig_cvip=true&rt=nc,"Spyderco pocket knife. Black, great condition just some wear on the pocket clip.","Jan 4, 2023",$80.00,$0.00
https://i.ebayimg.com/images/g/QKsAAOSwhoJjri1o/s-l1200.jpg,https://www.ebay.com/itm/204200283088?nordt=true&orig_cvip=true&rt=nc,Spyderco Clipitool Folding Knife C175P - Plain Edge Blade - Bottle Opener,"Jan 4, 2023",$27.00,$3.00
