Image,Field,Price,Field2,title1,title2,avg_cost,avg_shipping
https://i.ebayimg.com/00/s/MTA4MFgxMDgw/z/ZukAAOSwHDJhQZoI/$_57.JPG?set_id=8800005007,13,$477.79,"Jun 5, 2022",,CRKT Crossbones 7530 Folding Knife AUS-8 Steel Sharp Military Outdoor Camping,$36.75,$6.18
https://i.ebayimg.com/00/s/NTMwWDEzMDY=/z/cmMAAOSw6P9ip0UZ/$_57.JPG?set_id=8800005007,8,$217.81,"Aug 29, 2022",,CRKT M16-10KS Carson Design Folding Pocket Knife Tanto Combo Edge Frame Lock Blk,$27.23,$0.00
https://thumbs.ebaystatic.com/pict/2550047932656464_1.jpg,8,$314.60,"Sep 21, 2021",New (no box) CRKT PILAR D2 MICARTA VOXNAES DESIGN FOLDING FRAME LOCK KNIFE ,,$39.33,$0.00
https://thumbs.ebaystatic.com/pict/3341039544496464_1.jpg,6,$185.99,"Jan 18, 2022",CRKT M16-01S Carson Design Folding Pocket Knife Plain Edge Frame Lock Black SS,,$31.00,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/zvIAAOSwHQphlYvj/$_57.JPG?set_id=8800005007,5,$195.99,"Aug 10, 2022",,CRKT Columbia River McGinnis Premonition Blue Flip Tactical Pocket Knife,$39.20,$5.22
https://thumbs.ebaystatic.com/pict/1749558950226464_1.jpg,3,$51.50,"Jan 4, 2022",CRKT PIET Voxnaes Design 5390 Folding Knife,,$17.17,$5.44
https://thumbs.ebaystatic.com/pict/3247519507716464_1.jpg,3,$569.97,"Oct 11, 2021",New NIB CRKT Provoke 4042 First Responder Folding Pocket Knife Morphing Karambit,,$189.99,$0.00
https://thumbs.ebaystatic.com/pict/1147753212526464_1.jpg,2,$140.05,"Nov 28, 2021",CRKT M21-04G EDC Folding Pocket Knife Black Blade Automatic Liner Safety-- Good.,,$70.03,$7.45
https://thumbs.ebaystatic.com/pict/1152806416786464_1.jpg,2,$84.18,"Mar 9, 2022",Lot of 6 Folding Knife & Multi tool SOG Benchmade Gerber Smith & Wesson,,$42.09,$9.21
https://thumbs.ebaystatic.com/pict/1152806561756464_1.jpg,2,$62.00,"Mar 9, 2022",Lot of 6 Folding Knife & Multi tool Gerber Smith & Wesson Blauer mp400,,$31.00,$6.79
https://thumbs.ebaystatic.com/pict/1152976994526464_1.jpg,2,$44.00,"Mar 29, 2022",CRKT 8101 Mini Tighe Tac Liner Lock Folding Pocket Knife,,$22.00,$6.50
https://thumbs.ebaystatic.com/pict/1153049633886464_1.jpg,2,$45.00,"Apr 1, 2022",CRKT Pilar Folding Pocket Knife 5311,,$22.50,$0.00
https://thumbs.ebaystatic.com/pict/1153070319696464_1.jpg,2,$64.00,"Apr 2, 2022",CRKT 7103 Lake Signature Folding Liner Lock Knife,,$32.00,$6.50
https://thumbs.ebaystatic.com/pict/1153433137936464_1.jpg,2,$92.00,"Apr 25, 2022",CRKT M16-14DSFG Carson Special Forces Pocket Knife,,$46.00,$5.95
https://thumbs.ebaystatic.com/pict/1153453442556464_1.jpg,2,$15.38,"Apr 22, 2022",CRKT M16-10KS Carson design folding knife outdoors EDC tactical ,,$7.69,$5.25
https://thumbs.ebaystatic.com/pict/1153625879626464_1.jpg,2,$52.02,"May 5, 2022",CRKT CEO Flipper 7097 Folding Pocket Knife By Richard Rogers,,$26.01,$5.25
https://thumbs.ebaystatic.com/pict/1153897934516464_1.jpg,2,$62.00,"May 31, 2022",CRKT CEO Flipper 7097 Folding Pocket Knife By Richard Rogers- Assisted,,$31.00,$5.40
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/8OoAAOSw4rhikozI/$_12.JPG?set_id=880000500F,2,$250.00,"Jun 5, 2022",,CRKT Clever Girl knife and friends from Kubey and Smith & Wesson,$125.00,$12.00
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/xn4AAOSwxcVinpg9/$_12.JPG?set_id=880000500F,2,$120.00,"Jun 9, 2022",,CRKT Knife Lot 6855 Ignitor Squid Dully M16-10ksF Pocket Knives Assisted VEFF,$60.00,$5.00
https://i.ebayimg.com/00/s/MTIwM1gxNjAw/z/0tIAAOSw2TBirRCz/$_12.JPG?set_id=880000500F,2,$102.00,"Jun 20, 2022",,Lot of 8 Folding Knife Multi tool Gerber  Benchmade Boker SOG Old Timer ,$51.00,$11.99
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/nucAAOSwkjJiyd7D/$_12.JPG?set_id=880000500F,2,$80.00,"Jul 13, 2022",,Lot of 5 Folding Knife Multi tool Gerber CRKT Smith Wesson Skedco,$40.00,$11.99
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/-~wAAOSwS-dizgic/$_12.JPG?set_id=880000500F,2,$93.98,"Jul 18, 2022",,CRKT Columbia River M16-14SFG Pocket Knife Folder Tanto Point Blade Kit Carson,$46.99,$5.50
https://thumbs.ebaystatic.com/pict/1246652156336464_1.jpg,2,$126.74,"Dec 7, 2021",,VTG CRKT Triumph 1031K Crawford Design Folding Pocket Knife -- Good Condition,$63.37,$7.99
https://thumbs.ebaystatic.com/pict/1251694466226464_1.jpg,2,$60.06,"Mar 8, 2022",CRKT Li'l Guppie Knife Tool Wrench with Pocket Clip Model H9075 (Discontinued),,$30.03,$0.00
https://thumbs.ebaystatic.com/pict/1252069558106464_1.jpg,2,$59.76,"Mar 25, 2022",CRKT Ed Halligan Design H.U.G. 5590 Folding Pocket Knife-NR39,,$29.88,$4.70
https://thumbs.ebaystatic.com/pict/1252339191516464_1.jpg,2,$39.98,"Apr 11, 2022",CRKT Ignitor 6865 KA Steigerwalt Assisted Open Folding Combo Edge Knife JC12,,$19.99,$7.53
https://thumbs.ebaystatic.com/pict/1252760962526464_1.jpg,2,$25.02,"Apr 29, 2022",CRKT M16-10KS Pocket Knife Tanto Columbia River Company M21 Blade EDC Triple,,$12.51,$0.00
https://thumbs.ebaystatic.com/pict/1252986602926464_1.jpg,2,$50.00,"May 18, 2022","CRKT M16-01KS Lightweight Flipper Folding Pocket Knife 3 1/8"" Spear Point Blade",,$25.00,$4.70
https://thumbs.ebaystatic.com/pict/1252986634996464_1.jpg,2,$40.00,"May 13, 2022",CRKT Carson Design M21-10KSF Pocket Black Folding Knife,,$20.00,$5.30
https://thumbs.ebaystatic.com/pict/1253211511776464_1.jpg,2,$30.00,"May 25, 2022",CRKT M21-10KS Carson Flipper Combo Spearpoint Folding Pocket Knife ,,$15.00,$5.50
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/ZUEAAOSwlXtiolJk/$_12.JPG?set_id=880000500F,2,$45.00,"Jun 16, 2022",,CRKT M4-02W ASSISTED OPEN CARSON DESIGN BURL WOOD HANDLE FOLDING POCKET KNIFE ,$22.50,$5.50
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/VIUAAOSwH5RioKV9/$_12.JPG?set_id=880000500F,2,$60.00,"Jun 14, 2022",,Crkt Lil Guppie H9075 Knife Tool Wrench with Pocket Clip Discontinued,$30.00,$0.00
https://i.ebayimg.com/00/s/MTYwMFg0NjA=/z/TfsAAOSwLfFipWOZ/$_57.JPG?set_id=8800005007,2,$60.00,"Jul 9, 2022",,CRKT M16-01KZ - Carson Design - Folding Knife,$30.00,$18.24
https://i.ebayimg.com/00/s/MTYwMFg3MTA=/z/BGgAAOSwxYpis8nR/$_57.JPG?set_id=8800005007,2,$80.00,"Jul 3, 2022",,CRKT Columbia River M16-14ZSF Tanto - Folding Knife,$40.00,$21.00
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/IYMAAOSwwYVinlQS/$_12.JPG?set_id=880000500F,2,$30.00,"Jul 11, 2022",,CRKT M16-12Z Folding Pocket Knife - Silver,$15.00,$5.50
https://i.ebayimg.com/00/s/MTYwMFgxMzA0/z/X1wAAOSwLoxiu8lL/$_12.JPG?set_id=880000500F,2,$30.00,"Jul 7, 2022",,"CRKT Drifter 6451S Folding Knife, Plain Edge Blade, Stainless Steel",$15.00,$5.25
https://thumbs.ebaystatic.com/pict/1340323045206464_1.jpg,2,$58.00,"Feb 27, 2022",#550 Black CRKT K300KSP Hootenanny Ken Onion Design Liner Lock Knife IKBS,,$29.00,$0.00
