Image,Field,Price,Field2,Data_field,Data_field1,Data_field2
https://thumbs.ebaystatic.com/pict/1151222082816464_1.jpg,8,"$1,039.60","Dec 21, 2021","Benchmade - 940-2 Knife, Reverse Tanto, G10Benchmade - 940-2 Knife, Reverse Tanto, G10",$129.95,$0.00
https://thumbs.ebaystatic.com/pict/1250354705316464_1.jpg,7,$419.95,"Dec 7, 2021",Benchmade USA Grizzly Ridge 15061 S30V Folding Pocket Knife *GREATBenchmade USA Grizzly Ridge 15061 S30V Folding Pocket Knife *GREAT,$59.99,$0.00
https://thumbs.ebaystatic.com/pict/3032706327346464_1.jpg,7,$839.65,"Nov 6, 2021","BENCHMADE 319 PROPER CPM-S30V, SHEEPSFOOT BLADE, SLIPJOINT KNIFE, NEW IN BOXBENCHMADE 319 PROPER CPM-S30V, SHEEPSFOOT BLADE, SLIPJOINT KNIFE, NEW IN BOX",$119.95,$0.00
https://thumbs.ebaystatic.com/pict/1250349922726464_1.jpg,6,$393.10,"Dec 7, 2021",Benchmade 585 Mini Barrage CM154 Axis-Lock Folding Pocket Knife *EXCELLENT Benchmade 585 Mini Barrage CM154 Axis-Lock Folding Pocket Knife *EXCELLENT ,$65.52,$0.00
https://thumbs.ebaystatic.com/pict/2343572533216464_1.jpg,6,"$1,259.94","Mar 10, 2022",BENCHMADE Osborne 940-1 Knife CPM-S90V Steel & Black Carbon FiberBENCHMADE Osborne 940-1 Knife CPM-S90V Steel & Black Carbon Fiber,$209.99,$0.00
https://thumbs.ebaystatic.com/pict/1250354568866464_1.jpg,5,$299.75,"Dec 7, 2021",Benchmade USA 550BK Griptilian S30V Folding Knife Mel PardueBenchmade USA 550BK Griptilian S30V Folding Knife Mel Pardue,$59.95,$0.00
https://thumbs.ebaystatic.com/pict/1250367577696464_1.jpg,5,$324.25,"Dec 7, 2021",Benchmade USA Bailout 537GY Folding Knife CPM-3V Tanto *MINT*Benchmade USA Bailout 537GY Folding Knife CPM-3V Tanto *MINT*,$64.85,$0.00
https://i.ebayimg.com/00/s/MTAwMFgxMDAw/z/~boAAOSwB4Bi2Drd/$_12.JPG?set_id=880000500F,5,$649.75,"Aug 9, 2022",", preview full size imageBenchmade - 940-2 Knife, Reverse Tanto, G10Benchmade - 940-2 Knife, Reverse Tanto, G10",$129.95,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/rswAAOSwBERhoFna/$_57.JPG?set_id=8800005007,5,$125.00,"Jul 23, 2022",", preview full size imageBenchmade Knife Company 940 Osborne DLC Thumb Studs Factory OEM Takeoffs Benchmade Knife Company 940 Osborne DLC Thumb Studs Factory OEM Takeoffs ",$25.00,$0.00
https://thumbs.ebaystatic.com/pict/1750697361876464_1.jpg,4,$444.96,"Dec 31, 2021",BenchMade 535 BugOut With Custom G10 Scales-Black Blade-Gold Studs Knife Only.BenchMade 535 BugOut With Custom G10 Scales-Black Blade-Gold Studs Knife Only.,$111.24,$4.99
