Image,Field,Field1,Field2,Price,Field3,avg_price,avg_shipping
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/mZoAAOSwgmFhxgTM/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/402910684828?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw Kai 5300 Seki Japan Gentleman NS Pearl Folding Lockback Pocket Knife,58,"$1,593.10","Jul 22, 2022",$27.47,$18.91
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/liAAAOSwr8dgwPx6/$_12.PNG?set_id=880000500F,https://www.ebay.com/itm/363429037003?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw Kai 5300 Seki Japan Small Stainless Folding Lockback Pocket Knife,56,"$1,233.37","Aug 24, 2022",$22.02,$18.14
https://thumbs.ebaystatic.com/pict/3847213498446464_1.jpg,,,61,"$1,557.55","Feb 17, 2022",$25.53,$0.00
https://thumbs.ebaystatic.com/pict/4028808969686464_1.jpg,https://www.ebay.com/itm/402880896968?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw Kai 5100 Seki Japan Lacquer Gentleman Folding Lockback Pocket Knife,42,"$1,089.90","May 19, 2022",$25.95,$11.32
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/4J4AAOSwgXxiIr~S/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/363313999772?nordt=true&orig_cvip=true&rt=nc,"Vtg Kershaw Kai 2110 Seki Japan Bone Handle 3.25"" Folding Lockback Pocket Knife",40,"$2,137.49","Aug 7, 2022",$53.44,$18.32
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/TTAAAOSw0qRiQlQ3/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/402762371619?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw 3110 Juniper Canyon Seki Japan 2 Blade Folding Pocket Knife,24,$718.80,"Jul 31, 2022",$29.95,$17.66
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/y3oAAOSw25ti~SOO/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/402880896911?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw Kai 5200 Seki Japan 3in Stainless Gent Folding Lockback Pocket Knife,37,$854.20,"Aug 19, 2022",$23.09,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/J6UAAOSw~m5gv~gl/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/203487868603?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw Japan Easy Rider 2001 Good Buddy Bottle Opener Folding Pocket Knife,19,$664.05,"Jul 23, 2022",$34.95,$20.24
https://thumbs.ebaystatic.com/pict/4028808969096464_1.jpg,,,23,$918.85,"Nov 1, 2021",$39.95,$0.00
https://thumbs.ebaystatic.com/pict/2032973147426464_1.jpg,https://www.ebay.com/itm/203297314742?nordt=true&orig_cvip=true&rt=nc,Vtg Kershaw Kai 5600 Seki Japan Stainless Gentleman Scissor Folding Pocket Knife,16,$300.20,"May 31, 2022",$18.76,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/o78AAOSwBn1ikkVO/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/402908964795?nordt=true&orig_cvip=true&rt=nc,"Vtg Kershaw Kai 5100 Seki Japan 4"" Gentleman Folding Lockback Pocket Knife",33,$835.35,"Aug 29, 2022",$25.31,$0.00
