Image,url,item,Field4,price,shipping,Data_field
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/b1sAAOSwRZ5jLMJz/$_57.JPG?set_id=880000500F,https://www.ebay.com/itm/295233562377?nordt=true&orig_cvip=true&rt=nc,Kershaw Emerson Wave Framelock Black Folding Knife 6034,"Sep 29, 2022",$26.50,$5.50,295233562377
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/-3EAAOSwtgljL-DD/$_57.JPG?set_id=880000500F,https://www.ebay.com/itm/125530084755?nordt=true&orig_cvip=true&rt=nc,Kershaw 1830 OSO Sweet Black GFN Handle SpeedSafe Assisted Pocket Knife Used(972,"Sep 29, 2022",$15.99,$4.70,125530084755
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/y3gAAOSwjK9jLNSH/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/175424953577?nordt=true&orig_cvip=true&rt=nc,Kershaw 1550ST Pocket Knife Black Assisted Folding Ken Onion USA  *RARE,"Sep 29, 2022",$34.00,$5.20,175424953577
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/v2wAAOSw3s5jLc7A/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/314158004157?nordt=true&orig_cvip=true&rt=nc,KERSHAW SHOTGUN SHELL KNIFE 12 GA JAPAN UNUSED,"Sep 29, 2022",$26.00,$4.50,314158004157
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/QREAAOSwgCZjNObm/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/374279879546?nordt=true&orig_cvip=true&rt=nc,Kershaw 1760 Skyline Knife Black Handle Liner Lock Made in USA I3023,"Sep 29, 2022",$65.00,$0.00,374279879546
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/hYcAAOSwxrVivm5m/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/204018488290?nordt=true&orig_cvip=true&rt=nc,Used Kershaw 1605 Pocket Knife RESHAPED,"Sep 29, 2022",$8.00,$0.00,204018488290
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/iVkAAOSwdStjKRi~/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/255735070818?nordt=true&orig_cvip=true&rt=nc,Kershaw 1555BW Cryo Blackwash Assist Open Folding Knife Pocket Folder,"Sep 29, 2022",$24.97,$0.00,255735070818
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/3BEAAOSw4hJjJj5m/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/165682183531?nordt=true&orig_cvip=true&rt=nc,1 KERSHAW EMERSON KNIFE    Camping Fishing        Lot Z31,"Sep 29, 2022",$35.00,$6.00,165682183531
https://i.ebayimg.com/00/s/NDYzWDE2MDA=/z/lrcAAOSw4pxjLysC/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/385133405087?nordt=true&orig_cvip=true&rt=nc,Kershaw 3650 RJ Martin Speedsafe Flipper Folding Pocket Knife,"Sep 29, 2022",$14.50,$0.00,385133405087
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/AwgAAOSwU9RjLvUT/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/374271846439?nordt=true&orig_cvip=true&rt=nc,#304 Black Kershaw 1312BW Scrip Speedsafe Assisted Liner Lock Knife,"Sep 29, 2022",$15.00,$0.00,374271846439
