Image,Field,Price,Field2,title1,title,avg_price,avg_shipping
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/iWgAAOSw-SVeKE4E/$_57.JPG?set_id=8800005007,24,$498.81,"Aug 10, 2022",,Leatherman Parts Mod Replacement for Wave Black multi-tool genuine ,$20.78,$3.47
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/t2YAAOSwgo9eD47D/$_57.JPG?set_id=8800005007,20,$389.78,"Aug 21, 2022",,Leatherman Parts Mod Replacement for Charge Titanium  multi-tool genuine ,$19.49,$4.80
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/RmAAAOSwjN5fm2ZO/$_57.JPG?set_id=8800005007,18,$634.31,"Jul 25, 2022",,"Leatherman ""original"" PST multi tool",$35.24,$8.21
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/LNwAAOSw15xiB~6j/$_57.JPG?set_id=8800005007,17,$299.34,"Aug 25, 2022",,Leatherman Parts Mod Replacement for Wingman  multi-tool genuine ,$17.61,$4.80
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/pBEAAOSw9KZiTFgd/$_57.JPG?set_id=8800005007,17,$329.54,"Aug 3, 2022",,Leatherman Parts Mod Replacement for Charge Titanium  multi-tool genuine ,$19.38,$4.80
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/hMMAAOSwB1ViJmHq/$_57.JPG?set_id=8800005007,21,$517.49,"Jul 1, 2022",,  LEATHERMAN STYLE CS SCISSORS USA multi tool USA KNIFE MICRA LOT 1344,$24.64,$3.99
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Z5gAAOSw4ytizdfj/$_12.JPG?set_id=880000500F,12,$178.38,"Aug 14, 2022",,Vintage Leatherman Micra Multi Tool USA Pats Pend,$14.87,$0.00
https://thumbs.ebaystatic.com/pict/1340609840076464_1.jpg,10,$120.58,"Apr 6, 2022",Stainless LEATHERMAN Micra Multi-tool w/ Scissors Screwdriver Tweezers,,$12.06,$2.40
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/wbMAAOSw8aBi3mRx/$_57.JPG?set_id=8800005007,9,$192.72,"Aug 18, 2022",,Leatherman Parts Mod Replacement for Surge  multi-tool genuine #2,$21.41,$4.80
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/L-MAAOSwi39idBri/$_57.JPG?set_id=8800005007,7,$147.28,"Jun 25, 2022",,Leatherman Parts Mod Replacement for Surge  multi-tool genuine,$21.04,$4.80
https://thumbs.ebaystatic.com/pict/1854095136876464_1.jpg,5,$252.95,"May 19, 2022",Leatherman Wave Multi-tool 2nd Generation,,$50.59,$5.82
https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/pEUAAOSwbhBiDnj5/$_57.JPG?set_id=8800005007,5,$172.36,"Jul 29, 2022",,Leatherman Crater C33/C33LX Folding Pocket Knife/Multi Tool Liner Lock Carabiner,$34.47,$0.00
https://thumbs.ebaystatic.com/pict/2845496167136464_1.jpg,15,$120.00,"Dec 5, 2021",Leatherman Micra Multi-Tool Knife,,$8.00,$8.35
https://thumbs.ebaystatic.com/pict/1151572971676464_1.jpg,4,$246.96,"Jan 8, 2022",,"Leatherman Skeletool CX MultiTool 154CM Blade Carbon Fiber Knife, Plier -- Great",$61.74,$9.99
https://thumbs.ebaystatic.com/pict/1339143465506464_1.jpg,4,$53.96,"Feb 12, 2022",Stainless LEATHERMAN Micra Multi-tool w/ Scissors Screwdriver Tweezers,,$13.49,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/umkAAOSwzF5i-VwL/$_57.JPG?set_id=8800005007,4,$175.46,"Aug 20, 2022",,Leatherman Wave Multi-tool 2nd Generation,$43.87,$5.27
https://thumbs.ebaystatic.com/pict/2342558437386464_1.jpg,4,$279.96,"Apr 8, 2022",,Original LEATHERMAN Raptor Emergency Response Shears with Strap Cutter and Glass,$69.99,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/O~sAAOSwppZiMiuG/$_57.JPG?set_id=8800005007,4,$105.93,"Jun 18, 2022",,Leatherman Skeletool KBx Folding Pocket Knife Combo Edge Frame Lock Belt Clip ,$26.48,$0.00
https://i.ebayimg.com/00/s/OTUyWDEyNTg=/z/VaQAAOSwN89i5qfu/$_57.JPG?set_id=8800005007,5,$131.95,"Aug 13, 2022",,Leatherman Sidekick Multi-Tool Pliers Pocket Knife Rev Folding Wingman EDC,$26.39,$0.00
https://thumbs.ebaystatic.com/pict/2345300626606464_1.jpg,3,$129.14,"May 15, 2022",Leatherman Original Super Tool Multitool Made In USA,,$43.05,$0.00
https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/UV0AAOSwnB1hxM2S/$_57.JPG?set_id=8800005007,2,$62.00,"Aug 16, 2022",,"Leatherman SQUIRT PS4 Multi-Tool Knife, Scissors RED",$31.00,$10.58
https://thumbs.ebaystatic.com/pict/1251350018826464_1.jpg,2,$44.38,"Feb 12, 2022",Leatherman 154 cm Folding Knife,,$22.19,$6.00
https://thumbs.ebaystatic.com/pict/1252270859096464_1.jpg,2,$72.00,"Mar 31, 2022",Leatherman Rebar Pocket Knife Tactical Multi-Tool MUT Outside Accessible ,,$36.00,$0.00
https://thumbs.ebaystatic.com/pict/1252452371126464_1.jpg,2,$21.00,"Apr 13, 2022",Black Leatherman Style PS Muti-Tool Folding Utility Knife Key Chain,,$10.50,$5.00
https://thumbs.ebaystatic.com/pict/1253057970796464_1.jpg,2,$116.00,"May 11, 2022",Leatherman Tool with Case and Accessories,,$58.00,$9.45
