FfImage,url,title,Field2,Price,Field3,title2,avg_price,avg_shipping
https://i.ebayimg.com/00/s/NTAwWDM3NQ==/z/smEAAOSw6jdhvOn2/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/324946521772?nordt=true&orig_cvip=true&rt=nc,Victorinox Classic SD Mini Swiss Army Pocket Knife Assorted Colors (UsEd) 58mm,878,"$5,788.01","Aug 15, 2022",,$6.59,$3.54
https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/SQEAAOSwkEJfx7t~/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/233805693414?nordt=true&orig_cvip=true&rt=nc,Victorinox Classic SD Swiss Army Knife 3 Tool **Various Colors With No Logos**,587,"$4,866.43","Jul 22, 2022",,$8.29,$0.00
https://thumbs.ebaystatic.com/pict/1439219518316464_1.jpg,,,503,"$3,679.86","Apr 7, 2022",Victorinox Classic SD Swiss Army Knife 3 Tool Pocket Knife (Various Colors),$7.32,$0.00
https://thumbs.ebaystatic.com/pict/3338114012996464_1.jpg,,,126,$993.86,"May 30, 2022",Victorinox Classic SD Swiss Army Knife 3 Tool **Various Colors With Logos**,$7.89,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/C4cAAOSwEkxfTPOf/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/254705443098?nordt=true&orig_cvip=true&rt=nc,Original German army Swiss Victorinox made Pocket Multitool Folding knife,104,"$3,436.18","Aug 16, 2022",,$33.04,$7.44
https://thumbs.ebaystatic.com/pict/2647078142866464_1.jpg,https://www.ebay.com/itm/264707814286?nordt=true&orig_cvip=true&rt=nc,Victorinox Classic SD Mini Swiss Army Pocket Knife Assorted Colors 58MM Used,143,$760.08,"May 10, 2022",,$5.32,$3.52
https://i.ebayimg.com/00/s/MTAwMFgxMDAw/z/AQ4AAOSwpAhdFLDf/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/263111953389?nordt=true&orig_cvip=true&rt=nc,Original German army Swiss Victorinox made Pocket Multitool Folding knife,77,"$2,675.11","Jul 21, 2022",,$34.74,$8.21
https://thumbs.ebaystatic.com/pict/3249465319976464_1.jpg,https://www.ebay.com/itm/324946531997?nordt=true&orig_cvip=true&rt=nc,Victorinox Swiss Army  Classic SD 58MM Pocket  Knife MAKEOVERs New Scales Colors,84,$839.65,"Feb 24, 2022",,$10.00,$3.24
https://thumbs.ebaystatic.com/pict/2655486517736464_1.jpg,,,66,$821.79,"Mar 28, 2022",Lot of 2 Victorinox Classic SD Swiss Army Pocket Knife Red 58mm - Very Good,$12.45,$0.00
https://thumbs.ebaystatic.com/pict/2941715212376464_1.jpg,,,108,$691.65,"Oct 7, 2021",Victorinox Classic SD Mini Swiss Army Pocket Knife Assorted Colors (UsEd) 58mm,$6.40,$3.00
https://thumbs.ebaystatic.com/pict/2032330885126464_1.jpg,,,78,$668.40,"Jan 10, 2022",Victorinox Classic SD Mini Swiss Army Pocket Knife Red or Black 58MM,$8.57,$4.11
https://thumbs.ebaystatic.com/pict/1445345975856464_1.jpg,,,87,$654.57,"May 22, 2022",Victorinox Classic SD Swiss Army Knife 3 Tool Pocket Knife (Various Colors),$7.52,$0.00
