Image,url,date_sold,price_in_US,shipping_,Text
https://i.ebayimg.com/images/g/d9UAAOSw8Bphw6ag/s-l1200.jpg,https://www.ebay.com/itm/403371182844?nordt=true&orig_cvip=true&rt=nc,"Dec 21, 2022",$38.93,$30.59,''Vintage SOG M33 Seki Japan Mini Gentleman Stainless Steel Folding Pocket KnifeVintage SOG M33 Seki Japan Mini Gentleman Stainless Steel Folding Pocket Knife
https://i.ebayimg.com/images/g/ImkAAOSw3aNhgCKf/s-l1200.jpg,,"Oct 4, 2022",$8.65,$0.00,''SOG Key Small Keychain Folding Pocket Knife (Various)SOG Key Small Keychain Folding Pocket Knife (Various)
https://i.ebayimg.com/images/g/Pq0AAOSw3etg-YnN/s-l1200.jpg,,"Sep 27, 2021",$9.35,$0.00,''SOG Micron II Small Black Plain Tanto Blade Folding Pocket Knife Lockback SOG Micron II Small Black Plain Tanto Blade Folding Pocket Knife Lockback 
https://i.ebayimg.com/images/g/VG8AAOSweANibDtC/s-l1200.jpg,,"Jun 1, 2022",$22.80,$4.25,''SOG Terminus Slip Joint Knife Tan G-10 BD1 Stainless Pocket KnivesSOG Terminus Slip Joint Knife Tan G-10 BD1 Stainless Pocket Knives
https://i.ebayimg.com/images/g/0XEAAOSwT9ZhLjqk/s-l1200.jpg,,"Oct 24, 2021",$10.73,$0.00,''5” Black SOG Micron II (2) Folding Pocket Knife Clip Pt OR Tanto5” Black SOG Micron II (2) Folding Pocket Knife Clip Pt OR Tanto
https://i.ebayimg.com/images/g/KiQAAOSwMtxih~p8/s-l1200.png,,"Aug 5, 2022",$5.23,$0.00,''Group A Choice of Knife Sog Key - Korean 3 Blade Keychain KnifeGroup A Choice of Knife Sog Key - Korean 3 Blade Keychain Knife
https://i.ebayimg.com/images/g/J-MAAOSwBRRh8Evr/s-l1200.jpg,https://www.ebay.com/itm/234220099638?nordt=true&orig_cvip=true&rt=nc,"Nov 30, 2022",$16.68,$0.00,''SOG Micron II Small Black Plain Tanto Blade Folding Pocket Knife Lockback SOG Micron II Small Black Plain Tanto Blade Folding Pocket Knife Lockback 
https://i.ebayimg.com/images/g/vo8AAOSwHmBjIHWl/s-l1200.jpg,https://www.ebay.com/itm/334589598019?nordt=true&orig_cvip=true&rt=nc,"Dec 29, 2022",$175.63,$0.00,"''SOG Seal XR 3.9"" Folding Knife Clip Point, Black GRN S35VN Stainless 12-21-02-57SOG Seal XR 3.9"" Folding Knife Clip Point, Black GRN S35VN Stainless 12-21-02-57"
https://i.ebayimg.com/images/g/ZD8AAOSwKk1hCa9n/s-l1200.jpg,,"Dec 9, 2021",$26.07,$0.00,''SOG Twitch II 2 Gray Assisted Opening Lockback Pocket Folding Knife S1SOG Twitch II 2 Gray Assisted Opening Lockback Pocket Folding Knife S1
https://i.ebayimg.com/images/g/jYsAAOSwbuZibD1d/s-l1200.jpg,,"Jun 27, 2022",$22.46,$4.52,''SOG Terminus Slip Joint Knife Black G-10 BD1 Stainless Pocket KnivesSOG Terminus Slip Joint Knife Black G-10 BD1 Stainless Pocket Knives
https://i.ebayimg.com/images/g/O-MAAOSwX7Fig8Rq/s-l1200.jpg,,"Jun 19, 2022",$25.00,$4.90,"''NEW SOG Cash Card - Money Clip Knife 2.75"" Stainless SteelNEW SOG Cash Card - Money Clip Knife 2.75"" Stainless Steel"
https://i.ebayimg.com/images/g/ZLEAAOSw2dJjbMwy/s-l1200.jpg,https://www.ebay.com/itm/204148299398?nordt=true&orig_cvip=true&rt=nc,"Dec 24, 2022",$10.37,$0.00,''SOG Knife Key Shape Stainless Steel Folding Drop Blade Handle LockbackSOG Knife Key Shape Stainless Steel Folding Drop Blade Handle Lockback
https://i.ebayimg.com/images/g/YLkAAOSwXp9iEkhs/s-l1200.jpg,,"Mar 23, 2022",$14.86,$0.00,''SOG Micron II QAD Pocket Keychain Knife Lockback Plain Edge Blade SOG Micron II QAD Pocket Keychain Knife Lockback Plain Edge Blade 
https://i.ebayimg.com/images/g/vb4AAOSwQtxjqcOT/s-l1200.jpg,https://www.ebay.com/itm/394222907044?nordt=true&orig_cvip=true&rt=nc,"Jan 4, 2023",$13.71,$0.00,''SOG Centi I Keychain Pocket Knife Plain Edge BladeSOG Centi I Keychain Pocket Knife Plain Edge Blade
https://i.ebayimg.com/images/g/0m8AAOSwNkNieAdy/s-l1200.jpg,,"Jun 21, 2022",$5.55,$0.00,''Choice Silver Black Gold SOG Taiwan Keychain Keyring KnifeChoice Silver Black Gold SOG Taiwan Keychain Keyring Knife
https://i.ebayimg.com/images/g/cjMAAOSw1yVhCbVv/s-l1200.jpg,,"Nov 18, 2021",$27.87,$0.00,''SOG Twitch II 2 Wood Assisted Opening Lockback Pocket Folding Knife S3SOG Twitch II 2 Wood Assisted Opening Lockback Pocket Folding Knife S3
https://i.ebayimg.com/images/g/EnoAAOSwCRRh6fSp/s-l1200.jpg,,"Mar 8, 2022",$60.00,$0.00,''SOG Flash AT Assisted Folding Pocket KnifeSOG Flash AT Assisted Folding Pocket Knife
https://i.ebayimg.com/images/g/9ugAAOSw5K5fffaO/s-l1200.jpg,,"Aug 4, 2022",$8.19,$0.00,''Black Locking SOG Key Chain Knife With Some FadingBlack Locking SOG Key Chain Knife With Some Fading
https://i.ebayimg.com/images/g/tNgAAOSw1UVg1Mr1/s-l1200.jpg,,"Oct 22, 2021",$139.95,$23.66,''Vintage Sog Seki Japan Jet Edge ATS-34 Cocobolo Tactical Folding Pocket KnifeVintage Sog Seki Japan Jet Edge ATS-34 Cocobolo Tactical Folding Pocket Knife
https://i.ebayimg.com/images/g/hZcAAOSwOMVhv0M~/s-l1200.jpg,,"Dec 21, 2021",$17.80,$0.00,''Lot of 2 SOG Knives Micron II & Key Style Pocket Keychain Knife Lockback Lot of 2 SOG Knives Micron II & Key Style Pocket Keychain Knife Lockback 
https://i.ebayimg.com/images/g/f1cAAOSwIQhhxMRX/s-l1200.jpg,,"Jan 6, 2022",$9.93,$0.00,''ONE SOG Micron II Black Single Blade Locking Knife **ONE**ONE SOG Micron II Black Single Blade Locking Knife **ONE**
