Image,url,date_sold,price_in_US,shipping_,title,Text
https://i.ebayimg.com/images/g/wRAAAOSwv8Bjsx8B/s-l1200.jpg,https://www.ebay.com/itm/364097525213?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$150.00,$6.10,Osborne Benchmade Green 940 S30v Axis Lock Discontinued Pocket Folding Knife ,''Osborne Benchmade Green 940 S30v Axis Lock Discontinued Pocket Folding Knife Osborne Benchmade Green 940 S30v Axis Lock Discontinued Pocket Folding Knife 
https://i.ebayimg.com/images/g/pEoAAOSwR-Zju5pa/s-l1200.jpg,https://www.ebay.com/itm/394413161210?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$150.00,$11.00,"Benchmade USA 5000 Mel Pardue 154 CM Pocket Knife 3.4"" Part-Serrated Black Blade","''Benchmade USA 5000 Mel Pardue 154 CM Pocket Knife 3.4"" Part-Serrated Black BladeBenchmade USA 5000 Mel Pardue 154 CM Pocket Knife 3.4"" Part-Serrated Black Blade"
https://i.ebayimg.com/images/g/KwEAAOSwqB5jkiBF/s-l1200.jpg,https://www.ebay.com/itm/175524980056?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$359.00,$0.00,BENCHMADE knives  AILERON 737 TARANI knife Tactical DISCONTINUED w box,''BENCHMADE knives  AILERON 737 TARANI knife Tactical DISCONTINUED w boxBENCHMADE knives  AILERON 737 TARANI knife Tactical DISCONTINUED w box
https://i.ebayimg.com/images/g/VoYAAOSwHPdjtWqe/s-l1200.jpg,https://www.ebay.com/itm/134398157824?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$87.00,$0.00,#673 Benchmade 585S Mini-Barrage 154CM Assisted Opening Axis-Lock Knife Osborne,''#673 Benchmade 585S Mini-Barrage 154CM Assisted Opening Axis-Lock Knife Osborne#673 Benchmade 585S Mini-Barrage 154CM Assisted Opening Axis-Lock Knife Osborne
https://i.ebayimg.com/images/g/dy0AAOSwdbVjXBT1/s-l1200.jpg,https://www.ebay.com/itm/144886049613?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$92.00,$0.00,Benchmade Griptilian 557 Folding Pocket Knife S30V,''Benchmade Griptilian 557 Folding Pocket Knife S30VBenchmade Griptilian 557 Folding Pocket Knife S30V
https://i.ebayimg.com/images/g/25AAAOSwai1jtnp4/s-l1200.jpg,https://www.ebay.com/itm/185730491520?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$65.00,$5.90,Used Bail Out 537GY V3 Ambidextrous Foldable Pocket Knife Grivory CustomSerrated,''Used Bail Out 537GY V3 Ambidextrous Foldable Pocket Knife Grivory CustomSerratedUsed Bail Out 537GY V3 Ambidextrous Foldable Pocket Knife Grivory CustomSerrated
https://i.ebayimg.com/images/g/yV0AAOSw189jqRFo/s-l1200.jpg,https://www.ebay.com/itm/185730534006?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$65.00,$5.85,Used Bail Out 537GY V3 Ambidextrous Foldable Pocket Knife Green Grivory Handle,''Used Bail Out 537GY V3 Ambidextrous Foldable Pocket Knife Green Grivory HandleUsed Bail Out 537GY V3 Ambidextrous Foldable Pocket Knife Green Grivory Handle
https://i.ebayimg.com/images/g/g6EAAOSwBAhjlPAl/s-l1200.jpg,https://www.ebay.com/itm/204181165882?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$200.00,$0.00,Benchmade Rare Left hand AFCK Model 800S ATS-34 Knife LNIB Discontinued,''Benchmade Rare Left hand AFCK Model 800S ATS-34 Knife LNIB DiscontinuedBenchmade Rare Left hand AFCK Model 800S ATS-34 Knife LNIB Discontinued
https://i.ebayimg.com/images/g/yV0AAOSw189jqRFo/s-l1200.jpg,https://www.ebay.com/itm/185730501406?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$65.00,$5.85,Used Bail Out 537GY V3 Ambidextrous Foldable Pocket Knife Green Grivory Handle,''Used Bail Out 537GY V3 Ambidextrous Foldable Pocket Knife Green Grivory HandleUsed Bail Out 537GY V3 Ambidextrous Foldable Pocket Knife Green Grivory Handle
https://i.ebayimg.com/images/g/Tu0AAOSwh-Fju1~S/s-l1200.jpg,,"Jan 8, 2023",$120.00,$5.00,,''BENCHMADE Osborne 940 Knife CPM-S30V & Green 6061-T6 AluminumBENCHMADE Osborne 940 Knife CPM-S30V & Green 6061-T6 Aluminum
https://i.ebayimg.com/images/g/R3IAAOSw6Fpjulxa/s-l1200.jpg,https://www.ebay.com/itm/334694920738?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$172.00,$0.00,BenchMade 6800BK APB Knife 154CM,''BenchMade 6800BK APB Knife 154CMBenchMade 6800BK APB Knife 154CM
