Image,Field4,price_in_US,shipping_,title,date_sold,shipping_cost
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$21.95,$4.25,"Buck 345 OR 346 Vantage Avid Knife, Black OR Diamondwood","Jan 23, 2021",$4.25
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$37.49,$4.25,,"Feb 21, 2021",$4.99
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$17.99,$4.25,Buck 870 Camouflage Tactical Knife Combo Frame Lock Blade Thumb Studs-Great Cond,"Mar 15, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$99.99,$4.25,Buck 770 FlashPoint orange Folding Knife with Carabiner Clip -- Great Condition,"Mar 22, 2021",$4.99
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$16.99,$4.25,Buck Knives 736 Trekker XLT Partially Serrated Folding Pocket Knife – Great Cond,"Apr 7, 2021",$4.99
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$12.95,$4.25,"Buck Knives 283 Nano Bantam Folding Pocket Knife, Keychain size Lockback, USA","Apr 13, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$21.95,$4.25,"Buck 345  Vantage Avid Knife, Black OR Diamondwood","Apr 15, 2021",$4.25
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$19.99,$4.25,BUCK NOBLEMAN Model 327 Wood HHanded Liner Lock Folding Pocket Knife -- Great,"Apr 15, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$39.99,$4.25,BUCK Mantis Model 198 Frame Lock Combo Blade Folding Pocket Knife -- Great Cond,"Apr 18, 2021",$3.99
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$18.15,$4.25,BUCK BUCKMASTER MODEL 484 LOCKBACK FOLDING POCKET KNIFE ,"Apr 20, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$24.99,$4.25,G6. BUCK 840 SPRINT BALL BEARING FOLDING KNIFE RAZOR SHARP BLADE MADE IN USA,"May 6, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$49.99,$4.25,Vintage Buck 422V USA Bucklite Lockback Pocket Knife - Great Condition,"May 11, 2021",$3.99
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$9.99,$4.25,BUCK MINI Model 869 Black Liner Lock Folding Pocket Knife – Great Condition.,"May 12, 2021",$3.99
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$82.45,$4.25,BUCK WHITE KNIGHT (LADY) MODEL 506 MICARTA HANDLED FOLDING POCKET KNIFE *MINT*,"May 13, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$26.67,$4.25,BUCK BUCKLITE MODEL 442 BLACK LOCKBACK LIGHTWEIGHT FOLDING POCKET KNIFE W/CLIP,"May 13, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$14.99,$4.25,Buck 284 USA Bantam Klein Tool Lockback Folding Pocket Knife -- Great Condition,"May 15, 2021",$4.99
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$29.65,$4.25,BUCK LANCER MODEL 305 SAWCUT DELRIN HANDLES FOLDING POCKET KNIFE ,"May 16, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$12.99,$4.25,Buck 283 USA Small Bantam Lockback Sanke skin Camo Pocket Knife -- Great Conditi,"May 22, 2021",$4.49
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$21.99,$4.25,Buck 284 USA Bantam RealTree Xtra Camo Lockback Folding Pocket Knife - Great Con,"May 22, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$25.00,$4.25,BUCK STOCKMAN MODEL 371 G!0 HANDLES FOLDING POCKET KNIFE  **MINT** ,"May 24, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$41.00,$4.25,BUCK PRINCE MODEL 503 WOOD HANDLED FOLDING POCKET KNIFE **MINTY**,"May 29, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$35.00,$4.25,BUCK COMPANION MODEL 309 ROSEWOOD HANDLES FOLDING POCKET KNIFE  **MINT**,"May 30, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$17.99,$4.25,Buck 284 USA John Deere Lockback Folding Pocket Knife -- Great Condition.,"May 31, 2021",$4.99
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$39.95,$4.25,Ranger boats Buck Knife spitfire 722,"Jun 2, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$34.95,$4.25,Buck Knife 055 Folding Hunter Pocket Knife USA Made Lockback - Great Cond. - F89,"Jun 4, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$14.95,$4.25,"Buck Stockman 373 Folding Pocket Knife, 3-Blade, Wooden - Great Condition - F92","Jun 5, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$37.95,$4.25,Buck USA 301 Stockman Brass Folding Pocket Knife 3 Blade - Great Condition - F90,"Jun 8, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$29.95,$4.25,Gray Buck 722 Spitfire Folding Lockback Knife USA - Great Condition - F66,"Jun 9, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$12.95,$4.25,"Buck Knives 283 Nano Bantam Folding Pocket Knife, Keychain size Lockback, USA","Jun 9, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$76.99,$4.25,Vintage 70s Buck Knife 110 Two Dot Folding Lock Blade Original Sheath USA Made  ,"Jun 12, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$29.95,$4.25,"Buck Pocket Folding Knife 826 ""America's Favorite Gift"" - Excellent Cond. 199","Jun 15, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$31.95,$4.25,Buck 055 Single Blade Wood Handle Folding Lockback Hunter Pocket Knife - 197,"Jun 17, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$42.95,$4.25,BUCK MANTIS MODEL 198 FRAME LOCK COMBINATION BLADE FOLDING POCKET KNIFE ,"Jun 20, 2021",$0.00
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,"Jan 23, 2021",$17.50,$4.25,"Buck 285 BLW Bantam Folding Lockback Knife, Plain Edge - Black - Great 429","Jun 20, 2021",$0.00
