Image,url,date_sold,price_in_US,shipping_,title,Text
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,,"Jan 23, 2021",$21.95,$4.25,,"''Buck 345 OR 346 Vantage Avid Knife, Black OR DiamondwoodBuck 345 OR 346 Vantage Avid Knife, Black OR Diamondwood"
https://i.ebayimg.com/images/g/v8MAAOxyLm9TD~pj/s-l1200.jpg,https://www.ebay.com/itm/201044252270?nordt=true&orig_cvip=true&rt=nc,"Feb 21, 2021",$37.49,$4.99,"2008 99%-NEW USA BUCK 303 CADET BLACK DELRIN STOCKMAN KNIFE,3 5/16”CL,7 3/4”OPN ","''2008 99%-NEW USA BUCK 303 CADET BLACK DELRIN STOCKMAN KNIFE,3 5/16”CL,7 3/4”OPN 2008 99%-NEW USA BUCK 303 CADET BLACK DELRIN STOCKMAN KNIFE,3 5/16”CL,7 3/4”OPN "
https://i.ebayimg.com/images/g/IPYAAOSwi8BgssE3/s-l1200.jpg,,"Mar 15, 2021",$17.99,$0.00,,''Buck 870 Camouflage Tactical Knife Combo Frame Lock Blade Thumb Studs-Great CondBuck 870 Camouflage Tactical Knife Combo Frame Lock Blade Thumb Studs-Great Cond
https://i.ebayimg.com/images/g/I24AAOSwjGVgSDNl/s-l1200.jpg,,"Mar 22, 2021",$99.99,$4.99,,''Buck 770 FlashPoint orange Folding Knife with Carabiner Clip -- Great ConditionBuck 770 FlashPoint orange Folding Knife with Carabiner Clip -- Great Condition
https://i.ebayimg.com/images/g/2EkAAOSwsc5gVA0q/s-l1200.jpg,,"Apr 7, 2021",$16.99,$4.99,,''Buck Knives 736 Trekker XLT Partially Serrated Folding Pocket Knife – Great CondBuck Knives 736 Trekker XLT Partially Serrated Folding Pocket Knife – Great Cond
https://i.ebayimg.com/images/g/xOcAAOSwc1Ff7dS7/s-l1200.jpg,,"Apr 13, 2021",$12.95,$0.00,,"''Buck Knives 283 Nano Bantam Folding Pocket Knife, Keychain size Lockback, USABuck Knives 283 Nano Bantam Folding Pocket Knife, Keychain size Lockback, USA"
https://i.ebayimg.com/images/g/Nh0AAOSwr0Rd2~nZ/s-l1200.jpg,,"Apr 15, 2021",$21.95,$4.25,,"''Buck 345  Vantage Avid Knife, Black OR DiamondwoodBuck 345  Vantage Avid Knife, Black OR Diamondwood"
https://i.ebayimg.com/images/g/QKYAAOSw1X9gbQla/s-l1200.jpg,,"Apr 15, 2021",$19.99,$0.00,,''BUCK NOBLEMAN Model 327 Wood HHanded Liner Lock Folding Pocket Knife -- GreatBUCK NOBLEMAN Model 327 Wood HHanded Liner Lock Folding Pocket Knife -- Great
https://i.ebayimg.com/images/g/s~AAAOSwd4lga5~Z/s-l1200.jpg,,"Apr 18, 2021",$39.99,$3.99,,''BUCK Mantis Model 198 Frame Lock Combo Blade Folding Pocket Knife -- Great CondBUCK Mantis Model 198 Frame Lock Combo Blade Folding Pocket Knife -- Great Cond
https://i.ebayimg.com/images/g/IjEAAOSwUXNgZLfi/s-l1200.jpg,,"Apr 19, 2021",$21.99,$0.00,,''Buck 444 U USA BuckLite Lockback Pocket knife Black handleBuck 444 U USA BuckLite Lockback Pocket knife Black handle
