Image,url,date_sold,price_in_US,shipping_,Text
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,https://www.ebay.com/itm/164131545076?nordt=true&orig_cvip=true&rt=nc,"Apr 18, 2021",$29.99,$0.00,''Case XX 2137 SS 2 dot Sod Buster Jr pocket knifeCase XX 2137 SS 2 dot Sod Buster Jr pocket knife
https://i.ebayimg.com/images/g/KNYAAOSwBDdfGfVs/s-l1200.jpg,,"May 6, 2021",$13.78,$0.00,''Case XX 059L SS USA Lockback Knife Plastic Handle - Great Condition F39Case XX 059L SS USA Lockback Knife Plastic Handle - Great Condition F39
https://i.ebayimg.com/images/g/h50AAOSwzM5gHS3b/s-l1200.jpg,,"May 10, 2021",$6.00,$3.95,''CASE XX Knives White Irridescent Knife Shooter Marble. 1 MARBLE ��CASE XX Knives White Irridescent Knife Shooter Marble. 1 MARBLE ��
https://i.ebayimg.com/images/g/Yb0AAOSwhzRgM98y/s-l1200.jpg,,"May 11, 2021",$18.99,$0.00,''Case XX USA 059L SS Stainless Steel Folding Lockback Pocket Knife-Good ConditionCase XX USA 059L SS Stainless Steel Folding Lockback Pocket Knife-Good Condition
https://i.ebayimg.com/images/g/FmcAAOSwn-Zgv7cY/s-l1200.jpg,,"Jun 10, 2021",$95.00,$7.00,''CASE XX Knives 6354 HB SS Bone Handle Hobo Knife Fork Spoon Camp Knife Boy scoutCASE XX Knives 6354 HB SS Bone Handle Hobo Knife Fork Spoon Camp Knife Boy scout
https://i.ebayimg.com/images/g/6ssAAOSwmK1dwLNy/s-l1200.jpg,,"Jul 1, 2021",$30.00,$4.95,''CaseXX POCKET KNIFE 22087 2 Blade Black HandleCaseXX POCKET KNIFE 22087 2 Blade Black Handle
https://i.ebayimg.com/images/g/RG8AAOSwhyNgf3yx/s-l1200.jpg,,"Jul 26, 2021",$9.99,$4.99,''Case XX WR LT1405L SS USA Caliber Lockback Folding Pocket Knife -- Great ConitioCase XX WR LT1405L SS USA Caliber Lockback Folding Pocket Knife -- Great Conitio
https://i.ebayimg.com/images/g/5rsAAOSwahRhC~5G/s-l1200.jpg,,"Aug 5, 2021",$49.99,$0.00,''Case XX 610096 SS Caribbean Blue Bone Small Texas Toothpick KnifeCase XX 610096 SS Caribbean Blue Bone Small Texas Toothpick Knife
https://i.ebayimg.com/images/g/pz0AAOSwQGthCFEq/s-l1200.jpg,,"Aug 5, 2021",$59.99,$0.00,''CASE XX 61953 L SS RUSSLOCK FOLDING KNIFECASE XX 61953 L SS RUSSLOCK FOLDING KNIFE
https://i.ebayimg.com/images/g/smwAAOSwMa9gGtbu/s-l1200.jpg,,"Aug 8, 2021",$50.00,$0.00,''1976 CASE XX 5137 SS SODBUSTER STAG HANDLE KENTUCKY BICENTENNIAL KNIFE (D3)1976 CASE XX 5137 SS SODBUSTER STAG HANDLE KENTUCKY BICENTENNIAL KNIFE (D3)
https://i.ebayimg.com/images/g/ux8AAOSwzzxhHaRq/s-l1200.jpg,,"Aug 28, 2021",$33.00,$4.95,''1970 Case XX Vintage Whaler Pocket Knife 1199 Brown Wood Pocket Knife Rare 1970 Case XX Vintage Whaler Pocket Knife 1199 Brown Wood Pocket Knife Rare 
https://i.ebayimg.com/images/g/32AAAOSwvZ9hCFhC/s-l1200.jpg,,"Oct 5, 2021",$36.99,$0.00,''Case XX 310096 CV Pocket Knife - VintageCase XX 310096 CV Pocket Knife - Vintage
https://i.ebayimg.com/images/g/R14AAOSw0Uthaefx/s-l1200.jpg,,"Oct 17, 2021",$30.00,$0.00,''Vintage Case XX Two Blade Yellow Folding Pocket Knife 3254 CV Made in USA UsedVintage Case XX Two Blade Yellow Folding Pocket Knife 3254 CV Made in USA Used
https://i.ebayimg.com/images/g/eKsAAOSwZAFha3Fy/s-l1200.jpg,,"Oct 18, 2021",$160.00,$0.00,''Case XX USA VINTAGE ELEPHANT TOE Knife 6250 w Elephant Case XX USA VINTAGE ELEPHANT TOE Knife 6250 w Elephant 
https://i.ebayimg.com/images/g/swQAAOSwrhNhb~xV/s-l1200.jpg,,"Oct 23, 2021",$19.99,$4.99,''CASE XX 3137 SS USA  Sod Buster Jr Yellow Handle Pocket Knife -- Good ConditionCASE XX 3137 SS USA  Sod Buster Jr Yellow Handle Pocket Knife -- Good Condition
https://i.ebayimg.com/images/g/8XUAAOSwgB1hbLSf/s-l1200.jpg,,"Oct 25, 2021",$23.00,$15.50,''2008 Case XX Black Synthetic Medium Jack 22087 SS Pocket Knife 029L2008 Case XX Black Synthetic Medium Jack 22087 SS Pocket Knife 029L
https://i.ebayimg.com/images/g/mBUAAOSwHBZhdevE/s-l1200.jpg,,"Oct 31, 2021",$125.99,$5.10,''Case XX 6111 1/2L Cheetah 3 dot pocket knifeCase XX 6111 1/2L Cheetah 3 dot pocket knife
https://i.ebayimg.com/images/g/TFMAAOSwlPBheCAz/s-l1200.jpg,,"Oct 31, 2021",$29.00,$5.25,''Vintage CASE  XX 6 Dot 6185  Doctors Pocket KnifeVintage CASE  XX 6 Dot 6185  Doctors Pocket Knife
https://i.ebayimg.com/images/g/9IsAAOSwD~1heCmK/s-l1200.jpg,,"Oct 31, 2021",$26.25,$5.25,''Vintage CASE  XX No Dot Single Blade Pocket KnifeVintage CASE  XX No Dot Single Blade Pocket Knife
https://i.ebayimg.com/images/g/YUQAAOSwhiVhedVK/s-l1200.jpg,,"Oct 31, 2021",$32.00,$5.50,'' VINTAGE CASE KNIFE #6392-4'' PREMIUM STOCK 10 DOT 1970 VINTAGE CASE KNIFE #6392-4'' PREMIUM STOCK 10 DOT 1970
https://i.ebayimg.com/images/g/ISAAAOSwrkdhdXhw/s-l1200.jpg,,"Oct 31, 2021",$42.00,$5.25,''1989 Case XX SHARK TOOTH Lockback Knife Wood Handles Made In USA1989 Case XX SHARK TOOTH Lockback Knife Wood Handles Made In USA
https://i.ebayimg.com/images/g/7qgAAOSwDRBhBsxm/s-l1200.jpg,,"Oct 31, 2021",$50.00,$4.00,''Case XX USA 1965-69 6244 Jack KnifeCase XX USA 1965-69 6244 Jack Knife
https://i.ebayimg.com/images/g/Tv8AAOSwqbthdX-1/s-l1200.jpg,,"Oct 31, 2021",$182.00,$7.95,''CASE XX CHEETAH STAG HANDLE POCKET KNIFE NR $1CASE XX CHEETAH STAG HANDLE POCKET KNIFE NR $1
https://i.ebayimg.com/images/g/j70AAOSwrahhdfOi/s-l1200.jpg,,"Oct 31, 2021",$145.10,$4.90,''Case XX USA 61093 Red Bone Large Texas Toothpick Knife 1965 - 1969 Case XX USA 61093 Red Bone Large Texas Toothpick Knife 1965 - 1969 
https://i.ebayimg.com/images/g/UMoAAOSw9E9heJgL/s-l1200.jpg,,"Oct 31, 2021",$86.00,$5.71,''case xx c87fe folding pocket jackknife jack knife vtg oldcase xx c87fe folding pocket jackknife jack knife vtg old
https://i.ebayimg.com/images/g/5PIAAOSwvCNhd1EN/s-l1200.jpg,,"Oct 31, 2021",$275.00,$9.20,''HEIRLOOM 2002 CASE XX 81549L SS SILVER SCRIPT ABALONE LARGE COPPERLOCK KNIFEHEIRLOOM 2002 CASE XX 81549L SS SILVER SCRIPT ABALONE LARGE COPPERLOCK KNIFE
https://i.ebayimg.com/images/g/qrMAAOSwB69hdfro/s-l1200.jpg,,"Oct 31, 2021",$366.00,$0.00,''CASE XX FOLDING HUNTER DEALER KNIFE SET (2003 PRODUCTION) DAMASCUS STEELCASE XX FOLDING HUNTER DEALER KNIFE SET (2003 PRODUCTION) DAMASCUS STEEL
https://i.ebayimg.com/images/g/zh0AAOSwDphhdfr4/s-l1200.jpg,,"Oct 31, 2021",$26.00,$5.00,''Case XX Stainless 2 Blade Pocket Knife 06263 UsedCase XX Stainless 2 Blade Pocket Knife 06263 Used
https://i.ebayimg.com/images/g/mWAAAOSwcrxhdgGY/s-l1200.jpg,,"Oct 31, 2021",$63.89,$5.53,''US 2015 My 1st Case XX Tested 62154 SS Antique Folding Pocket Knife bUS 2015 My 1st Case XX Tested 62154 SS Antique Folding Pocket Knife b
https://i.ebayimg.com/images/g/zfIAAOSwdjhhcVIJ/s-l1200.jpg,,"Oct 31, 2021",$20.50,$5.20,''Vintage CASE XX 6318 HE STOCKMAN 3 Blade Pocket Knife - EXACTLY AS FOUND!Vintage CASE XX 6318 HE STOCKMAN 3 Blade Pocket Knife - EXACTLY AS FOUND!
https://i.ebayimg.com/images/g/SpoAAOSwjQ5hcg0W/s-l1200.jpg,,"Oct 31, 2021",$67.00,$5.72,''US 2014 Case XX Tested 61953L CV Russlock Red Folding Pocket Knife aUS 2014 Case XX Tested 61953L CV Russlock Red Folding Pocket Knife a
https://i.ebayimg.com/images/g/qvEAAOSwVtRheKSj/s-l1200.jpg,,"Oct 31, 2021",$55.00,$5.72,''US 2014 Case XX Tested 610096 SS Tiny Toothpick Grey Folding Pocket Knife aUS 2014 Case XX Tested 610096 SS Tiny Toothpick Grey Folding Pocket Knife a
https://i.ebayimg.com/images/g/7x4AAOSwS45hcs48/s-l1200.jpg,,"Oct 31, 2021",$174.50,$4.50,"''Tony Bose, Case XX, T.B.6339 Sowbelly knife. Barbwire bone. 2002Tony Bose, Case XX, T.B.6339 Sowbelly knife. Barbwire bone. 2002"
https://i.ebayimg.com/images/g/C8oAAOSwuHBhdgTC/s-l1200.jpg,,"Oct 31, 2021",$13.65,$4.55,''CASE XX USA 22087 KNIFECASE XX USA 22087 KNIFE
https://i.ebayimg.com/images/g/MC8AAOSwXuphTPh-/s-l1200.jpg,,"Oct 31, 2021",$45.00,$4.95,''CASE XX USA 61165 SS AMBER PEACH SEED JIG BONE POCKET HUNTER JACK KNIFE KNIVESCASE XX USA 61165 SS AMBER PEACH SEED JIG BONE POCKET HUNTER JACK KNIFE KNIVES
https://i.ebayimg.com/images/g/7hMAAOSwEFlheKVM/s-l1200.jpg,,"Oct 31, 2021",$47.00,$5.80,''�� 1965-69 CASE XX 4100 MELON CITRUS FRUIT TESTER RARE OLD POCKET KNIFE �� 1965-69 CASE XX 4100 MELON CITRUS FRUIT TESTER RARE OLD POCKET KNIFE 
https://i.ebayimg.com/images/g/yzIAAOSwXvphdguh/s-l1200.jpg,,"Oct 31, 2021",$15.60,$4.50,''Case xx USA 2137 ss Sod Buster JR Folding Pocket KnifeCase xx USA 2137 ss Sod Buster JR Folding Pocket Knife
https://i.ebayimg.com/images/g/svsAAOSwrG5hByVs/s-l1200.jpg,,"Oct 31, 2021",$68.00,$7.50,''Case XX Jigged Buffalo Horn Doctor's KnifeCase XX Jigged Buffalo Horn Doctor's Knife
https://i.ebayimg.com/images/g/QzMAAOSw62phdgx5/s-l1200.jpg,,"Oct 31, 2021",$23.50,$4.50,''Case XX Sod-buster JR 3137 CV SS Knife Good used conditionCase XX Sod-buster JR 3137 CV SS Knife Good used condition
https://i.ebayimg.com/images/g/oDAAAOSwIsdeUApZ/s-l1200.jpg,,"Oct 31, 2021",$55.00,$0.00,''**Rare CASE XX I2109X SS BABY COPPERHEAD Vintage KNIFE VINTAGE Handle Material.**Rare CASE XX I2109X SS BABY COPPERHEAD Vintage KNIFE VINTAGE Handle Material.
https://i.ebayimg.com/images/g/VV4AAOSw-Vdhcg9-/s-l1200.jpg,,"Oct 31, 2021",$143.75,$0.00,''AWESOME RARE QUEEN CUTLERY Q77 Q STEEL NO # 390 GAMEKEEPER FOLDING POCKET KNIFEAWESOME RARE QUEEN CUTLERY Q77 Q STEEL NO # 390 GAMEKEEPER FOLDING POCKET KNIFE
https://i.ebayimg.com/images/g/w9IAAOSwoeJhd07H/s-l1200.jpg,,"Oct 31, 2021",$270.00,$9.20,''HEIRLOOM 2002 CASE XX 8355WH SS SILVER SCRIPT ABALONE SEAHORSE WHITTLER KNIFEHEIRLOOM 2002 CASE XX 8355WH SS SILVER SCRIPT ABALONE SEAHORSE WHITTLER KNIFE
https://i.ebayimg.com/images/g/n~UAAOSwO2dheLX4/s-l1200.jpg,,"Oct 31, 2021",$51.00,$2.95,''Case XX 610096 SS Tiny Toothpick Folding Knife Stamped 010 on Bolster - EXC!Case XX 610096 SS Tiny Toothpick Folding Knife Stamped 010 on Bolster - EXC!
https://i.ebayimg.com/images/g/I-kAAOSwPjNeeAu5/s-l1200.jpg,,"Oct 31, 2021",$25.00,$4.60,''Case XX 32087 CV USA~Pen Knife~2 Blades~ Very Nice Everyday User VintageCase XX 32087 CV USA~Pen Knife~2 Blades~ Very Nice Everyday User Vintage
https://i.ebayimg.com/images/g/5FAAAOSw291hfwKd/s-l1200.jpg,,"Oct 31, 2021",$38.00,$5.30,''Case XX USA 3347HP Yellow Delrin 1965-1969 Stockman Pocket KnifeCase XX USA 3347HP Yellow Delrin 1965-1969 Stockman Pocket Knife
https://i.ebayimg.com/images/g/co8AAOSwlYRhfvKa/s-l1200.jpg,,"Oct 31, 2021",$65.00,$5.00,''Case XX 2015 Halloween Moose Knife 6275SS w/tinCase XX 2015 Halloween Moose Knife 6275SS w/tin
https://i.ebayimg.com/images/g/QhEAAOSwrL9hftZn/s-l1200.jpg,,"Oct 31, 2021",$80.00,$5.10,"''Case XX SHC SFO 2013 Halloween ""Grim Reaper"" 6254 SS Trapper KnifeCase XX SHC SFO 2013 Halloween ""Grim Reaper"" 6254 SS Trapper Knife"
https://i.ebayimg.com/images/g/6DkAAOSwZGhhbEIE/s-l1200.jpg,,"Oct 31, 2021",$39.00,$4.00,''CASE XX KNIFE MADE IN USA 1979 1 DOT APPALOOSA BONE VINTAGE POCKETCASE XX KNIFE MADE IN USA 1979 1 DOT APPALOOSA BONE VINTAGE POCKET
https://i.ebayimg.com/images/g/5zoAAOSw7qhhdUpx/s-l1200.jpg,,"Oct 31, 2021",$76.00,$6.00,"''Vintage CASE XX U.S.A. 3233 Pocket Knife,10 Dot's,. 2 Blade.  Vintage CASE XX U.S.A. 3233 Pocket Knife,10 Dot's,. 2 Blade.  "
