Image,Field4,price_in_US,shipping_,Image1,title,date_sold,shipping_cost
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$31.50,$3.49,https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,Kershaw HOPPS 5515 Folding Knife Speedsafe 8Cr13MoV Assisted Opening,"Jan 11, 2021",$3.49
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$25.00,$3.49,https://i.ebayimg.com/images/g/BdkAAOSwvyhgA4a4/s-l1200.jpg,KERSHAW SCALLION 1620 Plain Edge Blade KEN ONION FOLDING FRAME LOCK KNIFE,"Jan 17, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$19.99,$3.49,https://i.ebayimg.com/images/g/6IIAAOSwhYVgEacq/s-l1200.jpg,Kershaw Matte Finish Black Blade Leek Knife Serrated W/Gray Handle SEE DETAILS,"Jan 28, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$18.95,$3.49,https://i.ebayimg.com/images/g/IcUAAOSw4qZd5RyP/s-l1200.jpg,"Kershaw 1555 SpeedSafe Hinderer Design Assisted Locking Knife, Several Styles","Feb 2, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$24.95,$3.49,https://i.ebayimg.com/images/g/V2wAAOSw8V9d2l4t/s-l1200.jpg,"Kershaw 1600 Chive, Speedsafe knife, Compact folder","Feb 19, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$20.99,$3.49,https://i.ebayimg.com/images/g/ALoAAOSwjDBgMwyW/s-l1200.jpg,Kershaw USA Scallion 1620ST Black Handle Ken Onion Assisted Open Knife Used(880),"Feb 23, 2021",$7.95
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$41.95,$3.49,https://i.ebayimg.com/images/g/ABEAAOSwL7xgN4Da/s-l1200.jpg,"Kershaw Blur 1670 Knife, Speedsafe, Black, Silver Blade, Tanto","Mar 2, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$18.00,$3.49,https://i.ebayimg.com/images/g/4MQAAOSwtSZf-jFQ/s-l1200.jpg,KERSHAW Kuro 1835TBLKST Speedsafe Knife K215,"Mar 3, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$21.95,$3.49,https://i.ebayimg.com/images/g/E9YAAOSwRuNgWyhW/s-l1200.jpg,"Kershaw Blur 1670 Knife, Speedsafe, Black, Black Blade, Glassbreak Parts/ repair","Mar 24, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$12.34,$3.49,https://i.ebayimg.com/images/g/3DAAAOSwvaJgSRet/s-l1200.jpg,Kershaw 1445 Half Ton Buck Commander Folding Pocket Knife Plain Liner **Various*,"Mar 24, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$24.95,$3.49,https://i.ebayimg.com/images/g/V2wAAOSw8V9d2l4t/s-l1200.jpg,"Kershaw 1600 Chive, Speedsafe knife, Compact folder","Mar 26, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$50.00,$3.49,https://i.ebayimg.com/images/g/B6kAAOSwQrVgX8Bp/s-l1200.jpg,Kershaw USA 1760 Skyline Folding Pocket Knife - Black Blade With titanium Clip,"Mar 27, 2021",$5.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$40.45,$3.49,https://i.ebayimg.com/images/g/ABEAAOSwL7xgN4Da/s-l1200.jpg,"Kershaw Blur 1670 Knife, Speedsafe, Black, Silver Blade, Tanto","Apr 16, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$46.95,$3.49,https://i.ebayimg.com/images/g/rmwAAOSwADVgRstB/s-l1200.jpg,Vintage Kershaw 3115 Biltong Seki Japan Folding Lockback Pocket Knife,"Apr 19, 2021",$27.49
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$25.00,$3.49,https://i.ebayimg.com/images/g/G4wAAOSwu4VgKXcc/s-l1200.jpg,"KERSHAW BURST 3"" CLOSED LINER LOCK POCKET KNIFE 1970/ DOZIER KABAR KNIFE 3"" ","Apr 21, 2021",$8.89
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$24.95,$3.49,https://i.ebayimg.com/images/g/V2wAAOSw8V9d2l4t/s-l1200.jpg,"Kershaw 1600 Chive, Speedsafe knife, Compact folder","Apr 23, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$29.50,$3.49,https://i.ebayimg.com/images/g/BoIAAOSwKThgSEVU/s-l1200.jpg,Kershaw Chive 1600 Ken Onion Speedsafe Assisted Blade Flipper Pocket Knife ,"Apr 25, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$19.99,$3.49,https://i.ebayimg.com/images/g/i54AAOSwlXlgZSDx/s-l1200.jpg,Kershaw 1311TS Speed Safe Gray Metal Linerlock Pocket Knife -- Great Condition.,"May 2, 2021",$6.99
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$29.50,$3.49,https://i.ebayimg.com/images/g/LQcAAOSw2QlgSEU0/s-l1200.jpg,Kershaw Chive 1600 Ken Onion Speedsafe Assisted Blade Flipper Pocket Knife ,"May 8, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$23.70,$3.49,https://i.ebayimg.com/images/g/UDAAAOSwn0RfB0j8/s-l1200.jpg,Kershaw 1655BLK Vapor III Folding Knife - Fine Edge - Good Condition - V46,"May 8, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$29.95,$3.49,https://i.ebayimg.com/images/g/rksAAOSwMTdgQtxf/s-l1200.jpg,Vtg Kershaw Kai 5600 Seki Japan Stainless & Wood Scissor Folding Pocket Knife,"May 13, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$38.74,$3.49,https://i.ebayimg.com/images/g/HfQAAOSw3ipgpS43/s-l1200.jpg,Kershaw 1670NBSW USA Ken Onion Design Blue Speedsafe Blur Pocket Knife -- Good,"May 20, 2021",$4.99
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$14.95,$3.49,https://i.ebayimg.com/images/g/PM4AAOSwZp5fKdBe/s-l1200.jpg,Kershaw 3650CKTST Assisted Open RJ Martin Design Combo Edge Knife - Good R65,"May 24, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$18.70,$3.49,https://i.ebayimg.com/images/g/s3QAAOSwof5gU0Yp/s-l1200.jpg,"Kershaw 1555 SpeedSafe Hinderer Design Assisted Locking Knife, Several Styles","May 26, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$14.99,$3.49,https://i.ebayimg.com/images/g/DK4AAOSw96xgiQXl/s-l1200.jpg,"Kershaw 8750TOLBW Shuffle II Opener Camping Folding Knife, Olive -- Great Condit","May 26, 2021",$4.99
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$24.95,$3.49,https://i.ebayimg.com/images/g/V2wAAOSw8V9d2l4t/s-l1200.jpg,"Kershaw 1600 Chive, Speedsafe knife, Compact folder","May 29, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$39.95,$3.49,https://i.ebayimg.com/images/g/qOEAAOSwDIpgrVYq/s-l1200.jpg,Vintage Kershaw 1244TF Seki Japan Large Orange Fillet Lockback Folding Knife,"Jun 2, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$35.62,$3.49,https://i.ebayimg.com/images/g/O08AAOSwT9FgpAS7/s-l1200.jpg,Kershaw Cryo II Titanium Coated Folding Knife,"Jun 3, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$17.09,$3.49,https://i.ebayimg.com/images/g/SogAAOSwhyBgtoF~/s-l1200.jpg,Kershaw Speedsafe 1990 Brawler Folding Pocket Knife Assisted Plain Tanto Liner,"Jun 3, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$64.95,$3.49,https://i.ebayimg.com/images/g/EKYAAOSw-1FgtqHY/s-l1200.jpg,Kershaw Blackout 1550ST Folding Knife Discontinued Blade USA - Great Cond. 245,"Jun 3, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$79.95,$3.49,https://i.ebayimg.com/images/g/nPMAAOSwNzJgv8kA/s-l1200.jpg,Kershaw Ken Onion Storm 1475ST Folding Pocket Knife - Great Condition - 367,"Jun 9, 2021",$0.00
