Image,url,date_sold,price_in_US,shipping_,Text
https://i.ebayimg.com/images/g/THAAAOSwcnVjrH2o/s-l1200.jpg,https://www.ebay.com/itm/204199151073?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$9.25,$0.00,''Kershaw Cinder 1025 Folding Pocket Knife & Bottle Opener-Key Chain Knife-K1025-1Kershaw Cinder 1025 Folding Pocket Knife & Bottle Opener-Key Chain Knife-K1025-1
https://i.ebayimg.com/images/g/tyQAAOSwP8djskN-/s-l1200.jpg,https://www.ebay.com/itm/275601907310?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$95.00,$5.00,''Rare Kershaw Chive 1600VIB XXXX Rainbow Folding Knife - Excellent condition!Rare Kershaw Chive 1600VIB XXXX Rainbow Folding Knife - Excellent condition!
https://i.ebayimg.com/images/g/2uIAAOSwIqVjtdSy/s-l1200.jpg,https://www.ebay.com/itm/255911558136?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$33.01,$8.10,''Kershaw Blur Linerlock Assisted Opening Knife 1670 Desert Sand HandleKershaw Blur Linerlock Assisted Opening Knife 1670 Desert Sand Handle
https://i.ebayimg.com/images/g/kXMAAOSw12BjszEq/s-l1200.jpg,https://www.ebay.com/itm/266067353438?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$19.20,$6.10,''kershaw ken onion pocket knifekershaw ken onion pocket knife
https://i.ebayimg.com/images/g/yCYAAOSwprdjsygU/s-l1200.jpg,https://www.ebay.com/itm/374438414920?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$90.00,$9.90,''kershaw knife lot Assisted Opening Various Models See Photos 7 Kniveskershaw knife lot Assisted Opening Various Models See Photos 7 Knives
https://i.ebayimg.com/images/g/Y4gAAOSwIY5jsyam/s-l1200.jpg,https://www.ebay.com/itm/374438409891?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$68.00,$9.90,''kershaw knife lot Assisted Opening Various Models See Photos 8 Kniveskershaw knife lot Assisted Opening Various Models See Photos 8 Knives
https://i.ebayimg.com/images/g/8YoAAOSwg3VivcVu/s-l1200.jpg,https://www.ebay.com/itm/255607756582?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$40.00,$5.99,''Kershaw USA 1615 Signature Ken Onion Frank Centofante Assisted Pocket Knife 2005Kershaw USA 1615 Signature Ken Onion Frank Centofante Assisted Pocket Knife 2005
https://i.ebayimg.com/images/g/YTQAAOSw1khjuw1L/s-l1200.jpg,https://www.ebay.com/itm/185729910821?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$25.00,$5.50,''Kershaw 1776 3.25 inch Folding KnifeKershaw 1776 3.25 inch Folding Knife
https://i.ebayimg.com/images/g/JgMAAOSwqoxjtX0H/s-l1200.jpg,https://www.ebay.com/itm/374441501276?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$13.50,$0.00,''#679 Black Micarta Kershaw 3160 Crown Liner Lock Knife#679 Black Micarta Kershaw 3160 Crown Liner Lock Knife
https://i.ebayimg.com/images/g/g64AAOSwZKpjtXfW/s-l1200.jpg,https://www.ebay.com/itm/134398220163?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$50.00,$0.00,''#675 Brown Kershaw Emerson 6031D2 CQC-11K G10 D2 Flipper Liner Lock Knife#675 Brown Kershaw Emerson 6031D2 CQC-11K G10 D2 Flipper Liner Lock Knife
https://i.ebayimg.com/images/g/BcQAAOSwQAFjtWSn/s-l1200.jpg,https://www.ebay.com/itm/134398137381?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$18.50,$0.00,''#671 Stainless Kershaw 3470 Pico Speedsafe Assisted Frame Lock Knife#671 Stainless Kershaw 3470 Pico Speedsafe Assisted Frame Lock Knife
https://i.ebayimg.com/images/g/lscAAOSwA~Jjq310/s-l1200.jpg,https://www.ebay.com/itm/115655186403?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$35.00,$0.00,''Kershaw 1660 Leek Pocket Knife Stainless Plain Edge Assisted Opening Ken OnionKershaw 1660 Leek Pocket Knife Stainless Plain Edge Assisted Opening Ken Onion
https://i.ebayimg.com/images/g/8w4AAOSwvS9jsd2C/s-l1200.jpg,https://www.ebay.com/itm/374436770412?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$27.50,$5.90,''Kershaw Ken Onion Leek 1660CKT Folding Knife - BlackKershaw Ken Onion Leek 1660CKT Folding Knife - Black
https://i.ebayimg.com/images/g/~D4AAOSw8GJjk5Rc/s-l1200.jpg,https://www.ebay.com/itm/185718204790?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$14.00,$0.00,''Kershaw Lifter 1302BW- Tanto Folding Knife - Assisted Open - BlackwashKershaw Lifter 1302BW- Tanto Folding Knife - Assisted Open - Blackwash
https://i.ebayimg.com/images/g/-U4AAOSwHSxjj426/s-l1200.jpg,https://www.ebay.com/itm/225284740951?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$40.00,$3.00,''Kershaw Knife Emerson DesignKershaw Knife Emerson Design
https://i.ebayimg.com/images/g/zR0AAOSwjOdjk5PY/s-l1200.jpg,https://www.ebay.com/itm/185718204793?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$15.00,$0.00,''Kershaw Copper Cinder 1025CU Key Chain Pocket Knife & Bottle OpenerKershaw Copper Cinder 1025CU Key Chain Pocket Knife & Bottle Opener
