Image,url,date_sold,price_in_US,shipping_,Text
https://i.ebayimg.com/images/g/IcUAAOSw4qZd5RyP/s-l1200.jpg,,"Feb 2, 2021",$18.95,$0.00,"''Kershaw 1555 SpeedSafe Hinderer Design Assisted Locking Knife, Several StylesKershaw 1555 SpeedSafe Hinderer Design Assisted Locking Knife, Several Styles"
https://i.ebayimg.com/images/g/V2wAAOSw8V9d2l4t/s-l1200.jpg,,"Feb 19, 2021",$24.95,$0.00,"''Kershaw 1600 Chive, Speedsafe knife, Compact folderKershaw 1600 Chive, Speedsafe knife, Compact folder"
https://i.ebayimg.com/images/g/ABEAAOSwL7xgN4Da/s-l1200.jpg,,"Mar 2, 2021",$41.95,$0.00,"''Kershaw Blur 1670 Knife, Speedsafe, Black, Silver Blade, TantoKershaw Blur 1670 Knife, Speedsafe, Black, Silver Blade, Tanto"
https://i.ebayimg.com/images/g/E9YAAOSwRuNgWyhW/s-l1200.jpg,,"Mar 24, 2021",$21.95,$0.00,"''Kershaw Blur 1670 Knife, Speedsafe, Black, Black Blade, Glassbreak Parts/ repairKershaw Blur 1670 Knife, Speedsafe, Black, Black Blade, Glassbreak Parts/ repair"
https://i.ebayimg.com/images/g/3DAAAOSwvaJgSRet/s-l1200.jpg,,"Mar 24, 2021",$12.34,$0.00,''Kershaw 1445 Half Ton Buck Commander Folding Pocket Knife Plain Liner **Various*Kershaw 1445 Half Ton Buck Commander Folding Pocket Knife Plain Liner **Various*
https://i.ebayimg.com/images/g/V2wAAOSw8V9d2l4t/s-l1200.jpg,,"Mar 26, 2021",$24.95,$0.00,"''Kershaw 1600 Chive, Speedsafe knife, Compact folderKershaw 1600 Chive, Speedsafe knife, Compact folder"
https://i.ebayimg.com/images/g/ABEAAOSwL7xgN4Da/s-l1200.jpg,,"Apr 16, 2021",$40.45,$0.00,"''Kershaw Blur 1670 Knife, Speedsafe, Black, Silver Blade, TantoKershaw Blur 1670 Knife, Speedsafe, Black, Silver Blade, Tanto"
https://i.ebayimg.com/images/g/rmwAAOSwADVgRstB/s-l1200.jpg,,"Apr 19, 2021",$46.95,$27.49,''Vintage Kershaw 3115 Biltong Seki Japan Folding Lockback Pocket KnifeVintage Kershaw 3115 Biltong Seki Japan Folding Lockback Pocket Knife
https://i.ebayimg.com/images/g/G4wAAOSwu4VgKXcc/s-l1200.jpg,,"Apr 21, 2021",$25.00,$8.89,"''KERSHAW BURST 3"" CLOSED LINER LOCK POCKET KNIFE 1970/ DOZIER KABAR KNIFE 3"" KERSHAW BURST 3"" CLOSED LINER LOCK POCKET KNIFE 1970/ DOZIER KABAR KNIFE 3"" "
https://i.ebayimg.com/images/g/V2wAAOSw8V9d2l4t/s-l1200.jpg,,"Apr 23, 2021",$24.95,$0.00,"''Kershaw 1600 Chive, Speedsafe knife, Compact folderKershaw 1600 Chive, Speedsafe knife, Compact folder"
https://i.ebayimg.com/images/g/BoIAAOSwKThgSEVU/s-l1200.jpg,,"Apr 25, 2021",$29.50,$0.00,''Kershaw Chive 1600 Ken Onion Speedsafe Assisted Blade Flipper Pocket Knife Kershaw Chive 1600 Ken Onion Speedsafe Assisted Blade Flipper Pocket Knife 
https://i.ebayimg.com/images/g/i54AAOSwlXlgZSDx/s-l1200.jpg,,"May 2, 2021",$19.99,$6.99,''Kershaw 1311TS Speed Safe Gray Metal Linerlock Pocket Knife -- Great Condition.Kershaw 1311TS Speed Safe Gray Metal Linerlock Pocket Knife -- Great Condition.
https://i.ebayimg.com/images/g/LQcAAOSw2QlgSEU0/s-l1200.jpg,,"May 8, 2021",$29.50,$0.00,''Kershaw Chive 1600 Ken Onion Speedsafe Assisted Blade Flipper Pocket Knife Kershaw Chive 1600 Ken Onion Speedsafe Assisted Blade Flipper Pocket Knife 
https://i.ebayimg.com/images/g/UDAAAOSwn0RfB0j8/s-l1200.jpg,,"May 8, 2021",$23.70,$0.00,''Kershaw 1655BLK Vapor III Folding Knife - Fine Edge - Good Condition - V46Kershaw 1655BLK Vapor III Folding Knife - Fine Edge - Good Condition - V46
https://i.ebayimg.com/images/g/rksAAOSwMTdgQtxf/s-l1200.jpg,,"May 13, 2021",$29.95,$0.00,''Vtg Kershaw Kai 5600 Seki Japan Stainless & Wood Scissor Folding Pocket KnifeVtg Kershaw Kai 5600 Seki Japan Stainless & Wood Scissor Folding Pocket Knife
