Image,url,date_sold,price_in_US,shipping_,Text
https://i.ebayimg.com/images/g/gUsAAOSwQgVjsxwy/s-l1200.jpg,https://www.ebay.com/itm/364097515244?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$26.00,$7.00,"''SPYDERCO ENDURA CLIP-IT KNIFE. SEKI-CITY JAPAN. USED, NO BOX , SHEATH OR CASE. SPYDERCO ENDURA CLIP-IT KNIFE. SEKI-CITY JAPAN. USED, NO BOX , SHEATH OR CASE. "
https://i.ebayimg.com/images/g/niUAAOSwm8Rjtare/s-l1200.jpg,https://www.ebay.com/itm/275605199082?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$99.00,$5.00,"''Spyderco Assist Rescue Knife C79BBK 3.68"" Black Combo Edge BladeSpyderco Assist Rescue Knife C79BBK 3.68"" Black Combo Edge Blade"
https://i.ebayimg.com/images/g/ECYAAOSwoNxju6Ln/s-l1200.jpg,https://www.ebay.com/itm/175566249704?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$80.00,$5.45,''Spyderco Native III Knife Part Serrated VG10Spyderco Native III Knife Part Serrated VG10
https://i.ebayimg.com/images/g/cykAAOSwcS9jt1zh/s-l1200.jpg,https://www.ebay.com/itm/204207067348?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$550.00,$12.00,''Knife Joy - Spyderco Slysz Bowie Blue Titanium M390 Knife C186TIPBL DiscontinuedKnife Joy - Spyderco Slysz Bowie Blue Titanium M390 Knife C186TIPBL Discontinued
https://i.ebayimg.com/images/g/MvoAAOSwRi9jh517/s-l1200.jpg,https://www.ebay.com/itm/195498089531?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$85.99,$11.99,''Spyderco Knife Para 3 Lightweight FRN CTS-BD1N Black Plain EdgeSpyderco Knife Para 3 Lightweight FRN CTS-BD1N Black Plain Edge
https://i.ebayimg.com/images/g/dD0AAOSwSfRjt9su/s-l1200.jpg,https://www.ebay.com/itm/255914064167?nordt=true&orig_cvip=true&rt=nc,"Jan 9, 2023",$128.50,$5.85,"''Spyderco Hanan Full-Flat Grind Folding Knife 6.88"" - BlackSpyderco Hanan Full-Flat Grind Folding Knife 6.88"" - Black"
https://i.ebayimg.com/images/g/HGgAAOSw7xBju3TF/s-l1200.jpg,https://www.ebay.com/itm/325492251151?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$75.00,$5.50,''Spyderco Salt 2 Wharncliffe Lockback Knife Green FRN Serrated LC200N C88FSWCGR2Spyderco Salt 2 Wharncliffe Lockback Knife Green FRN Serrated LC200N C88FSWCGR2
https://i.ebayimg.com/images/g/GuQAAOSwamtjho2B/s-l1200.jpg,https://www.ebay.com/itm/295450635844?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$32.99,$0.00,''Spyderco Tenacious Black 8cr13mov Folding Pocket Knife China Spyderco Tenacious Black 8cr13mov Folding Pocket Knife China 
https://i.ebayimg.com/images/g/SPYAAOSwyTpjuXP3/s-l1200.jpg,https://www.ebay.com/itm/134398443990?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$670.00,$0.00,''Spyderco Knife Mamba Brend Pirela Design Carbon Handle CPM S30V with Pouch *289Spyderco Knife Mamba Brend Pirela Design Carbon Handle CPM S30V with Pouch *289
https://i.ebayimg.com/images/g/JTEAAOSwI7Rju1XD/s-l1200.jpg,https://www.ebay.com/itm/144892558167?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$75.00,$8.00,''Spyderco Delica 4 VG-10 Stainless Steel Knife with Plain Edge BladeSpyderco Delica 4 VG-10 Stainless Steel Knife with Plain Edge Blade
https://i.ebayimg.com/images/g/r0QAAOSwxk1jrlWo/s-l1200.jpg,https://www.ebay.com/itm/204200375887?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$52.00,$15.00,''spyderco knife vg-10spyderco knife vg-10
https://i.ebayimg.com/images/g/K5UAAOSwRadjo0su/s-l1200.jpg,https://www.ebay.com/itm/185721149637?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$138.00,$9.75,''Spyderco Spy Opera LionSteel Italy Maniago Folding Knife M390 SteelSpyderco Spy Opera LionSteel Italy Maniago Folding Knife M390 Steel
https://i.ebayimg.com/images/g/4NwAAOSw4WtjtMZc/s-l1200.jpg,https://www.ebay.com/itm/266069154792?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$65.62,$4.55,"''Spyderco H-1 Pacific Salt Folding Knife Black Blade, FRN HandlesSpyderco H-1 Pacific Salt Folding Knife Black Blade, FRN Handles"
https://i.ebayimg.com/images/g/yOQAAOSwT95jsg-Y/s-l1200.jpg,https://www.ebay.com/itm/275601726109?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$275.00,$5.50,''Spyderco Techno 1 Titanium CTS-XHP Steel knife C158TIP Discontinued RARESpyderco Techno 1 Titanium CTS-XHP Steel knife C158TIP Discontinued RARE
https://i.ebayimg.com/images/g/aiMAAOSw~CtjrbPU/s-l1200.jpg,https://www.ebay.com/itm/255902030503?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$50.00,$4.95,''Spyderco Rescue 79mm Black  VG-10 Serrated Blade Pocket KnifeSpyderco Rescue 79mm Black  VG-10 Serrated Blade Pocket Knife
https://i.ebayimg.com/images/g/NdkAAOSwVV5jtJPH/s-l1200.jpg,https://www.ebay.com/itm/125699293715?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$62.00,$0.00,''Yellow Spyderco Atlantic Salt Blade Serrated H-1 Steel Pocket Knife Rust FreeYellow Spyderco Atlantic Salt Blade Serrated H-1 Steel Pocket Knife Rust Free
https://i.ebayimg.com/images/g/dIEAAOSwQTRjuylo/s-l1200.jpg,https://www.ebay.com/itm/275611732130?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$250.00,$5.90,"''Spyderco Manix 2 Folding Knife 3.37"" M390 Black Blade Earth Brown G10 SprintSpyderco Manix 2 Folding Knife 3.37"" M390 Black Blade Earth Brown G10 Sprint"
https://i.ebayimg.com/images/g/rZQAAOSwG-Jjuz-s/s-l1200.jpg,https://www.ebay.com/itm/204209871224?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$160.00,$5.50,''Spyderco Shaman C229GP S30V Folding KnifeSpyderco Shaman C229GP S30V Folding Knife
https://i.ebayimg.com/images/g/wesAAOSwmx5jshk1/s-l1200.jpg,https://www.ebay.com/itm/364096854436?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$120.00,$5.90,"''Spyderco Para 3 Folding Knife - Black, 3""Spyderco Para 3 Folding Knife - Black, 3"""
https://i.ebayimg.com/images/g/OWMAAOSwzB1jshAM/s-l1200.jpg,https://www.ebay.com/itm/175557268440?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$142.50,$6.10,''Spyderco Manix 2  REX-45 Burnt Orange  C101PBORE2 ***USED***Spyderco Manix 2  REX-45 Burnt Orange  C101PBORE2 ***USED***
https://i.ebayimg.com/images/g/ZioAAOSwwQZjl-Pb/s-l1200.jpg,https://www.ebay.com/itm/234818436865?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$61.00,$5.60,''J44 Spyderco Harpy Stainless Pocket KnifeJ44 Spyderco Harpy Stainless Pocket Knife
https://i.ebayimg.com/images/g/icgAAOSw3Gxjl-PZ/s-l1200.jpg,https://www.ebay.com/itm/334663892051?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$56.55,$5.40,''J40 Spyderco Delica 4 Pocket KnifeJ40 Spyderco Delica 4 Pocket Knife
https://i.ebayimg.com/images/g/PEAAAOSwnhxjuRIX/s-l1200.jpg,https://www.ebay.com/itm/285101042939?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$140.00,$0.00,''Spyderco Service Liner Lock Knife Digital Camo CPM S30V C36GPCMO Very Light UseSpyderco Service Liner Lock Knife Digital Camo CPM S30V C36GPCMO Very Light Use
https://i.ebayimg.com/images/g/7vcAAOSwpVVjl-PW/s-l1200.jpg,https://www.ebay.com/itm/234818436841?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$102.50,$5.30,''J36 Spyderco Para 3 Pocket KnifeJ36 Spyderco Para 3 Pocket Knife
https://i.ebayimg.com/images/g/olkAAOSwk9tjqk~o/s-l1200.jpg,https://www.ebay.com/itm/334686825545?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$267.00,$10.00,''Spyderco Ankerson/Sanders Province FB45G Survival KnifeSpyderco Ankerson/Sanders Province FB45G Survival Knife
https://i.ebayimg.com/images/g/3FYAAOSwkY9jsgye/s-l1200.jpg,https://www.ebay.com/itm/185720958900?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$179.50,$6.55,''Spyderco Kiwi Pocket Knife Discontinued Beautiful Handles - RARESpyderco Kiwi Pocket Knife Discontinued Beautiful Handles - RARE
https://i.ebayimg.com/images/g/FsUAAOSwl6Nju0F7/s-l1200.jpg,https://www.ebay.com/itm/204209875209?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$120.00,$5.50,''Spyderco Para 3 Folding Knife with G-10 Handle Full-Flat Grind - BlackSpyderco Para 3 Folding Knife with G-10 Handle Full-Flat Grind - Black
https://i.ebayimg.com/images/g/EaMAAOSwtW5jGqok/s-l1200.jpg,https://www.ebay.com/itm/195536373698?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$980.00,$19.99,''Spyderco Slysz Bowie Folder Pin Titanium Folder Pocket Knife C186TIP Fast Ship Spyderco Slysz Bowie Folder Pin Titanium Folder Pocket Knife C186TIP Fast Ship 
https://i.ebayimg.com/images/g/CmsAAOSwmt9jsllq/s-l1200.jpg,https://www.ebay.com/itm/364104038030?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$220.00,$8.25,''Discontinued Spyderco Brad Southard Pin Frame Lock Knife  Discontinued Spyderco Brad Southard Pin Frame Lock Knife  
https://i.ebayimg.com/images/g/FNkAAOSwXWxjguUU/s-l1200.jpg,https://www.ebay.com/itm/394403629177?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$45.00,$3.67,''4778  One Spyderco pocket knife4778  One Spyderco pocket knife
https://i.ebayimg.com/images/g/RvYAAOSw~RNjseiG/s-l1200.jpg,https://www.ebay.com/itm/295450156609?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$105.00,$6.00,"''Unused Spyderco Lil' Native Midlock Folding Knife Black, 2.47"" S30V +Lynch ClipUnused Spyderco Lil' Native Midlock Folding Knife Black, 2.47"" S30V +Lynch Clip"
https://i.ebayimg.com/images/g/x48AAOSwC5Vjseop/s-l1200.jpg,https://www.ebay.com/itm/374436841366?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$127.50,$5.50,''Spyderco Paramilitary 2 G-10 3.44 inch KnifeSpyderco Paramilitary 2 G-10 3.44 inch Knife
https://i.ebayimg.com/images/g/Fh4AAOSwAGZjd-b3/s-l1200.png,https://www.ebay.com/itm/275476778765?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$33.00,$3.25,''Spyderco Ladybug 3 Black FRN Folding Knife VG-10 LBKP3 - Good condition!Spyderco Ladybug 3 Black FRN Folding Knife VG-10 LBKP3 - Good condition!
https://i.ebayimg.com/images/g/8a8AAOSwIbJjARVp/s-l1200.jpg,https://www.ebay.com/itm/185593431682?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$180.00,$5.50,''Spyderco Para 3 Orange Light Weight Scales CTS-XHP DLC Steel Knife C223GPORBKSpyderco Para 3 Orange Light Weight Scales CTS-XHP DLC Steel Knife C223GPORBK
https://i.ebayimg.com/images/g/MDgAAOSwB9BjsR~g/s-l1200.jpg,https://www.ebay.com/itm/354489373189?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$76.57,$8.75,''5865  One Spyderco pocket knife5865  One Spyderco pocket knife
https://i.ebayimg.com/images/g/xEEAAOSwUV1jsSAI/s-l1200.jpg,https://www.ebay.com/itm/354489373656?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$27.00,$8.75,''5866  One Spyderco pocket knife5866  One Spyderco pocket knife
https://i.ebayimg.com/images/g/k9UAAOSw549jsR-S/s-l1200.jpg,https://www.ebay.com/itm/394402936758?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$49.00,$8.75,''5864  One Spyderco pocket knife5864  One Spyderco pocket knife
https://i.ebayimg.com/images/g/gPUAAOSw~RNjsSA0/s-l1200.jpg,https://www.ebay.com/itm/394402939167?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$55.00,$5.94,''5867  One Spyderco pocket knife5867  One Spyderco pocket knife
https://i.ebayimg.com/images/g/m84AAOSwQcFjlp2l/s-l1200.jpg,https://www.ebay.com/itm/175529326583?nordt=true&orig_cvip=true&rt=nc,"Jan 8, 2023",$48.00,$5.50,''Spyderco Clipit Delica Knife Mid Lock Plain Edge Blade ATS-55 Seki City JapanSpyderco Clipit Delica Knife Mid Lock Plain Edge Blade ATS-55 Seki City Japan
https://i.ebayimg.com/images/g/dNEAAOSw-zlhqjCF/s-l1200.jpg,https://www.ebay.com/itm/324919910349?nordt=true&orig_cvip=true&rt=nc,"Jan 7, 2023",$143.18,$0.00,''NIB New Spyderco Para 3 Knife C223GPCMO Satin Plain Edge S45VN Blade Digi CamoNIB New Spyderco Para 3 Knife C223GPCMO Satin Plain Edge S45VN Blade Digi Camo
https://i.ebayimg.com/images/g/UkkAAOSw2vVjrRR0/s-l1200.jpg,https://www.ebay.com/itm/165857570047?nordt=true&orig_cvip=true&rt=nc,"Jan 7, 2023",$45.00,$0.00,''Vtg SPYDERCO Clip It  SEKI CITY  JAPAN G2 Stainless Pocket KnifeVtg SPYDERCO Clip It  SEKI CITY  JAPAN G2 Stainless Pocket Knife
https://i.ebayimg.com/images/g/LaYAAOSwqaBjsE-v/s-l1200.jpg,https://www.ebay.com/itm/385325008582?nordt=true&orig_cvip=true&rt=nc,"Jan 7, 2023",$28.00,$0.00,''Spyderco AUS-8 Pocket Knife Nice But Clip BrokenSpyderco AUS-8 Pocket Knife Nice But Clip Broken
https://i.ebayimg.com/images/g/BMYAAOSwBXVjugCD/s-l1200.jpg,https://www.ebay.com/itm/125706926618?nordt=true&orig_cvip=true&rt=nc,"Jan 7, 2023",$40.00,$10.60,''Spyderco Para 3 Lightweight Black FRN BD1N Satin PlainEdge Folding Pocket KnifeSpyderco Para 3 Lightweight Black FRN BD1N Satin PlainEdge Folding Pocket Knife
https://i.ebayimg.com/images/g/WL4AAOSw9Q1jueco/s-l1200.jpg,https://www.ebay.com/itm/255916667232?nordt=true&orig_cvip=true&rt=nc,"Jan 7, 2023",$130.00,$0.00,''Spyderco Knives ~ C228CFP Sliverax S30V Carbon Fiber/G-10 Laminate Spyderco Knives ~ C228CFP Sliverax S30V Carbon Fiber/G-10 Laminate 
