Image,url,date_sold,price_in_US,shipping_,title,Text
https://i.ebayimg.com/images/g/9v4AAOSwvfBf-Exh/s-l1200.jpg,,"Jan 11, 2021",$10.95,$0.00,,"''Victorinox Spartan, 91mm Red, Collectable Advertising, Swiss Army KnifeVictorinox Spartan, 91mm Red, Collectable Advertising, Swiss Army Knife"
https://i.ebayimg.com/images/g/3BAAAOSwnLtcNWwk/s-l1200.jpg,,"Jan 20, 2021",$7.59,$0.00,,"''Victorinox Classic Swiss Army Knife w/ Nail File/Cleaner (Various, *Damage*)Victorinox Classic Swiss Army Knife w/ Nail File/Cleaner (Various, *Damage*)"
https://i.ebayimg.com/images/g/Ld8AAOSw5QNfxNvw/s-l1200.jpg,,"Jan 25, 2021",$12.45,$0.00,,"''Victorinox Rambler 58MM Swiss Army Knife, Classic with scissors & Bottle OpenerVictorinox Rambler 58MM Swiss Army Knife, Classic with scissors & Bottle Opener"
https://i.ebayimg.com/images/g/KVYAAOSwzM5gCVZn/s-l1200.jpg,,"Feb 5, 2021",$12.32,$0.00,,"''Victorinox Rambler 58MM Swiss Army Knife, Classic with scissors & Bottle OpenerVictorinox Rambler 58MM Swiss Army Knife, Classic with scissors & Bottle Opener"
https://i.ebayimg.com/images/g/bxoAAOSwRFNgCVY~/s-l1200.jpg,,"Feb 7, 2021",$13.95,$0.00,,"''Victorinox Rambler 58MM Swiss Army Knife, Classic with scissors & Bottle OpenerVictorinox Rambler 58MM Swiss Army Knife, Classic with scissors & Bottle Opener"
https://i.ebayimg.com/images/g/rVIAAOSw-AJdfo0e/s-l1200.jpg,,"Feb 8, 2021",$13.95,$0.00,,"'' Victorinox Camper Swiss Army knife, Several types- Complete. 91mm Victorinox Camper Swiss Army knife, Several types- Complete. 91mm"
https://i.ebayimg.com/images/g/xuQAAOSwh0Bf3esI/s-l1200.jpg,,"Feb 9, 2021",$25.95,$0.00,,''Victorinox Swiss Army Cadet Silver Alox KnifeVictorinox Swiss Army Cadet Silver Alox Knife
https://i.ebayimg.com/images/g/8GAAAOSwdcxgIrmA/s-l1200.jpg,,"Feb 13, 2021",$12.99,$4.45,,''Victorinox Executive Swiss Army Knife - Black - Great EDC Tool - UsedVictorinox Executive Swiss Army Knife - Black - Great EDC Tool - Used
https://i.ebayimg.com/images/g/~HAAAOSw7EFfbeZF/s-l1200.jpg,,"Feb 16, 2021",$16.39,$14.14,,"''Victorinox Executive Multi-Tool Pocket Knife, Several typesVictorinox Executive Multi-Tool Pocket Knife, Several types"
https://i.ebayimg.com/images/g/LIQAAOSwOsVfid6b/s-l1200.jpg,,"Feb 21, 2021",$5.05,$0.00,,''Victorinox SwissCard Replacement Knife BladeVictorinox SwissCard Replacement Knife Blade
https://i.ebayimg.com/images/g/eTQAAOSwOR9bagQj/s-l1200.jpg,,"Feb 24, 2021",$14.99,$0.00,,''Victorinox Executive Multi-Tool Pocket Knife - Usually ships within 12 hours!!!Victorinox Executive Multi-Tool Pocket Knife - Usually ships within 12 hours!!!
https://i.ebayimg.com/images/g/YJoAAOSwLf9gOMwM/s-l1200.jpg,,"Feb 27, 2021",$49.95,$0.00,,"''Victorinox Swiss Champ Swiss Army Knife, 33 functions, with Pliers, PenVictorinox Swiss Champ Swiss Army Knife, 33 functions, with Pliers, Pen"
